"Add New Row","הוסף שורה"
"An error occurred while saving the file(s).","ארעה שגיאה בזמן שמירת הקובץ(ים)."
"Availability: In stock.","Availability: In stock."
"Availability: Out of stock.","Availability: Out of stock."
"Back","חזור"
"Can't connect to remote host, error: %s","Can't connect to remote host, error: %s"
"Canceled","בוטל"
"Date","תאריך"
"Default Link Title","כותרת ברירת מחדל של קישור"
"Default Maximum Number of Downloads","מספר מקסימלי של הורדות - ערך ברירת מחדל"
"Default Sample Title","ברירת מחדל - כותרת לדוגמא"
"Disable Guest Checkout if cart contains downloadable items","Disable Guest Checkout if cart contains downloadable items"
"Downloadable Information","מוצר להורדה - מידע"
"Downloadable Product","מוצר להורדה"
"Downloadable Product Options","מוצר להורדה - אפשרויות"
"Downloadable product Section","איזור - מוצרים להורדה"
"Excl. Tax","לא כולל מס"
"File","קובץ"
"File does not exists","File does not exists"
"From:","מ:"
"Gift Message","ברכה"
"Go to <a href=""%s"">My Downloadable Products</a>","עבור ל <a href=""%s"">המוצרים המורדים שלי</a>"
"Guest checkout will only work with shareable","Guest checkout will only work with shareable"
"Incl. Tax","כולל מס"
"Invalid download URL host","Invalid download URL host"
"Invalid download URL scheme","Invalid download URL scheme"
"Invalid download link type","Invalid download link type"
"Invoiced","נרשם בחשבונית"
"Link has expired.","Link has expired."
"Link is not available.","Link is not available."
"Links can be purchased separately","ניתן לרכוש קישורים בצורה נפרדת"
"Max. Downloads","מקס. הורדות"
"Message:","הודעה:"
"My Downloadable Products","המוצרים שלי שניתנים להורדה"
"Open Links in New Window","פתח קישורים בחלון חדש"
"Order #","מס' הזמנה"
"Order Item Status to enable Downloads","Order Item Status to enable Downloads"
"Ordered","הוזמן"
"Pending","בהמתנה"
"Please log in to download your product.","אנא, התחבר כדי להוריד את המוצר שלך"
"Please set resource file and link type","Please set resource file and link type"
"Please specify product link(s).","ציין קישור(ים) למוצר"
"Price","מחיר"
"Refunded","הוחזר"
"Remaining Downloads","הורדות שנשארו"
"Remove item","Remove item"
"Requested link doesn't exist.","Requested link doesn't exist."
"Sample","דוגמא"
"Shareable","שיתופי"
"Shipped","נשלח"
"Sorry, the was an error getting requested content. Please contact store owner.","Sorry, the was an error getting requested content. Please contact store owner."
"Sorry, there was an error getting requested content","Sorry, there was an error getting requested content"
"Sorry, there was an error getting requested content. Please contact store owner.","Sorry, there was an error getting requested content. Please contact store owner."
"Sort Order","מיון לפי"
"Start Download","התחל הורדה"
"Status","מצב"
"Title","כותרת"
"To:","עבור/ל/עד:"
"U","U"
"Unlimited","לא מוגבל"
"View Order","הצג הזמנה"
"You have not purchased any downloadable products yet.","עדיין לא ביצעת רכישה של מוצרים להורדה"
"attachment","קובץ מצורף"
"download","הורד"
"inline","פנימי"
"sample","דוגמא"
"My Downloadable Products","My Downloadable Products"
"You have not purchased any downloadable products yet.","You have not purchased any downloadable products yet."
