"%s - Discounts and Coupons","%s - 折扣和优惠券"
"%s - Special Discounts","%s - 特价"
"%s RSS Feed","%s RSS 订阅"
"%s has reached a quantity of %s.","%s的数量为%s。"
"%s's Wishlist","%s收藏"
"Cannot retrieve the wishlist","无法读取收藏"
"Catalog","目录"
"Category Feeds","目录Feeds"
"Comment: %s<br/>","评论: %s<br/>"
"Coupons/Discounts","折扣/优惠券"
"Current Status: %s<br/>","当前状态：%s<br/>"
"Customer Name: %s","顾客名字：%s"
"Customer Order Status Notification","顾客订单状态通知"
"Details for %s #%s","%s编号%s的详情"
"Discount ","折扣"
"Enable RSS","启动RSS"
"Error in processing xml. %s","处理xml%s中出错"
"From:","从："
"Get Feed","获取Feed"
"Gift Message","礼物留言"
"Grand Total","全总额"
"Low Stock Products","低库存商品"
"Message:","评论："
"Miscellaneous Feeds","杂项订订阅"
"New Orders","新订单"
"New Products","新商品"
"New Products from %s","来自%s的新商品"
"Notified Date: %s<br/>","通知日期：%s<br/>"
"Order # %s Notification(s)","订单%s通知"
"Order #%s created at %s","订单号%s之订购日期%s"
"Pending product review(s)","待核商品评论"
"Product: ""%s"" review By: %s","商品：""%s""%s评论"
"Product: <a href=""%s"">%s</a> <br/>","商品：<a href=""%s"">%s</a> <br/>"
"Products tagged with %s","商品标记为%s"
"Purchased From: %s","购买于：%s"
"RSS","RSS"
"RSS Feeds","RSS订阅"
"RSS testing","RSS 测试"
"Review: %s <br/>","评论：%s <br/>"
"Rss Config","Rss设置"
"Rss Feeds Section","Rss订阅单元"
"Shipping & Handling","配送处理"
"Special Products","特价商品"
"Special/Discount Products","特价/折价商品"
"Store: %s <br/>","商店： %s <br/>"
"Subtotal","小计"
"Summary of review: %s <br/>","评论摘要：%s <br/>"
"Tags Products","商品标签"
"Tax","税"
"There are no Rss Feeds","无Rss订阅"
"There are no Rss Feeds.","There are no Rss Feeds."
"To:","给："
"Top Level Category","首级目录分类"
"Total Products: %s","产品总计: %s"
"Total: %s<br/>","总额：%s<br/>"
"Wishlist","收藏"
"click <a href=""%s"">here</a> to view the review","点击<a href=""%s"">这里</a>以查看评论"
