"(eg: domain.com/identifier)","(πχ: domain.com/identifier)"
"Action","Ενέργεια"
"Add New Block","Προσθήκη Νέου Τμήματος"
"Add New Page","Προσθήκη Νέας Σελίδας"
"All countries","Όλες Οι Χώρες"
"Block Information","Πληροφορίες Τμήματος"
"Block Title","Τίτλος Τμήματος"
"Block was successfully deleted","Το τμήμα διαγράφηκε επιτυχώς"
"Block was successfully saved","Το τμήμα αποθηκεύτηκε επιτυχώς"
"CMS","CMS"
"CMS Home Page","CMS Αρχική Σελίδα"
"CMS No Route Page","CMS Σελίδα Έλλειψης Διαδρομής"
"Content","Περιεχόμενο"
"Custom Design","Προσαρμοσμένο Design"
"Custom Theme","Προσαρμοσμένο Theme"
"Custom Theme From","Προσαρμοσμένο Theme Από"
"Custom Theme To","Προσαρμοσμένο Theme Προς"
"Customer Tax Class Information","Πληροφορίες Φορολογικής Κλάσης Πελάτη"
"Date Created","Ημερομηνία Δημιουργίας"
"Delete Block","Διαγραφή Τμήματος"
"Delete Page","Διαγραφή Σελίδας"
"Description","Περιγραφή"
"Disabled","Απενεργοποιημένο"
"Edit Block","Επεξεργασία Τμήματος"
"Edit Block '%s'","Επεξεργασία Τμήματος '%s'"
"Edit Page","Επεξεργασία Σελίδας"
"Edit Page '%s'","Επεξεργασία Σελίδας '%s'"
"Enabled","Ενεργοποιημένο"
"General Information","Γενικές Πληροφορίες"
"Go to Home Page","Πίσω Στην Αρχική Σελίδα"
"Home","Αρχική Σελίδα"
"Identifier","Αναγνωριστικό"
"Keywords","Λέξεις Κλειδιά"
"Last Modified","Τελευταία Τροποποίηση"
"Layout","Διάταξη"
"Layout Update XML","XML Ανανέωσης Διάταξης"
"Manage Pages","Διαχείρηση Σελίδων"
"Meta Data","Μεταδεδομένα"
"Meta Description","Meta Περιγραφή"
"Meta Keywords","Meta Λέξεις Κλειδιά"
"New Block","Νέο Τμήμα"
"New Page","Νέα Σελίδα"
"Page Identifier cannot consist only of numbers.","Το αναγνωριστικό σελίδας δε μπορεί να αποτελείται μόνο από αριθμούς"
"Page Identifier for specified store already exist.","Το αναγνωριστικό σελίδας υπάρχει ήδη στο επιλεγμένο κατάστημα"
"Page Information","Πληροφορίες Σελίδας"
"Page Status","Κατάσταση Σελίδας"
"Page Title","Τίτλος Σελίδας"
"Page was successfully deleted","Η σελίδα διαγράφηκε επιτυχώς"
"Page was successfully saved","Η σελίδα αποθηκεύτηκε επιτυχώς"
"Poll Manager","Διαχείριση Δημοσκοπήσεων"
"Product Tax Class Information","Πληροφορίες Φορολογικής Κλάσης Προϊόντος"
"SEF URL Identifier","Αναγνωριστικό SEF URL"
"Save Block","Αποθήκευση Τμήματος"
"Save Page","Αποθήκευση Σελίδας"
"Show breadcrumbs for CMS pages","Εμφάνιση μονοπατιού(breadcrumbs) για τις σελίδες του CMS"
"Static Blocks","Στατικά Τμήματα"
"Status","Κατάσταση"
"Store View","Όψη Καταστήματος"
"Such a block identifier in selected store already exist.","Ένα τέτοιο αναγνωριστικό τμήματος υπάρχει ήδη στο επιλεγμένο κατάστημα."
"The page you are trying to save no longer exists","Η σελιδα που προσπαθείτε να αποθηκευέσετε πλέον δεν υπάρχει"
"This block no longer exists","Το τμήμα αυτό πλέον δεν υπάρχει"
"This page no longer exists","Αυτή η σελίδα πλέον δεν υπάρχει"
"Title","Τίτλος"
"Unable to find a block to delete","Δεν είναι δυνατό να βρεθεί ένα τμήμα για διαγραφή"
"Unable to find a page to delete","Δεν είναι δυνατό να βρεθεί μια σελίδα για διαγραφή"
