"%s is not correct comparsion method.","%s is not correct comparsion method."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart."
"Allow Qty Below 0","السماح بالكمية 0"
"Allow Qty Below 0 and Notify Customer","السماح بكمية تحت ال 0 و أعلام العميل"
"Backorders","Backorders"
"By Fixed value","بقيمة ثابتة"
"By Percentage","بنسبة مؤية"
"Can not specify product identifier for order item","لا ينمت تخصيص معرف المنتج لترتيب الصنف"
"Catalog Inventory","Catalog Inventory"
"Decrease Stock When Order is Placed","ازل من المخزون عند استلام الطلب الجديد"
"In Stock","In Stock"
"Inventory","الجرد"
"Inventory API","Inventory API"
"Inventory Section","Inventory Section"
"Manage Stock","Manage Stock"
"Maximum Qty Allowed in Shopping Cart","اقصى كمية مسموح بها فى سلة التسوق"
"Minimum Qty Allowed in Shopping Cart","اقل كمية مسموح بها فى سلة التسوق"
"No Backorders","No Backorders"
"Notify for Quantity Below","اعلم عندما تكون الكمية تحت "
"Out of Stock","Out of Stock"
"Product Stock Options","Product Stock Options"
"Qty for Items' Status to become Out of Stock","Qty for Items' Status to become Out of Stock"
"Retrieve stock data","Retrieve stock data"
"Retrieve stock data by product ids","Retrieve stock data by product ids"
"Rule price","السعر الاساسى"
"Set Items' Status to be In Stock When Order is Cancelled","Set Items' Status to be In Stock When Order is Cancelled"
"Some of the products are currently out of stock","Some of the products are currently out of stock"
"Some of the products can not be ordered in requested quantity","Some of the products can not be ordered in requested quantity"
"Some of the products cannot be ordered in the requested quantity","Some of the products cannot be ordered in the requested quantity"
"Stock Options","خيارات المخزون"
"Stock item for Product in option is not valid","Stock item for Product in option is not valid"
"Stock item for Product is not valid","Stock item for Product is not valid"
"The maximum quantity allowed for purchase is %s.","The maximum quantity allowed for purchase is %s."
"The minimum quantity allowed for purchase is %s.","The minimum quantity allowed for purchase is %s."
"The requested quantity for ""%s"" is not available.","الكمية المطلوبة لـ ""%s"" لم تعد موجودة"
"The requested quantity is not available.","الكمية المطلوبة لم تعد موجودة."
"This product is currently out of stock.","This product is currently out of stock."
"To Fixed Value","الى قيمة ثابته"
"To Percentage","الى نسبة مؤية"
"Update","Update"
"Update product stock data","Update product stock data"
"Update the Product","تحديث هذا المنتج"
