"(eg: domain.com/identifier)","(ตย.: domain.com/identifier)"
"Action","การกระทำ"
"Add New Block","เพิ่ม Block ใหม่"
"Add New Page","เพิ่มหน้าใหม่"
"All countries","ทุกประเทศ"
"Block Information","ข้อมูล Block"
"Block Title","หัวข้อ Block "
"Block was successfully deleted","ลบ Block แล้ว"
"Block was successfully saved","บันทึก Block แล้ว"
"CMS","CMS"
"CMS Home Page","หน้าหลัก CMS"
"CMS No Route Page","CMS ไม่มีหน้า Route"
"Content","เนื้อหา"
"Custom Design","ดีไซน์แบบ Custom"
"Custom Theme","ปรับปรุงธีม"
"Custom Theme From","ปรับปรุงธีม จาก"
"Custom Theme To","ปรับปรุงธีม ถึง"
"Customer Tax Class Information","ข้อมูลคลาสภาษีของลูกค้า"
"Date Created","สร้างขึ้นเมื่อวันที่"
"Delete Block","ลบ Block"
"Delete Page","ลบหน้า"
"Description","รายละเอียด"
"Disabled","ปิดการใช้งาน"
"Edit Block","แก้ไข Block"
"Edit Block '%s'","แก้ไข Block '%s'"
"Edit Page","แก้ไขหน้า"
"Edit Page '%s'","แก้ไขหน้า '%s'"
"Enabled","เปิดการใช้งาน"
"General Information","ข้อมูลทั่วไป"
"Go to Home Page","ไปยังหน้าหลัก"
"Home","หน้าหลัก"
"Identifier","การจำแนก"
"Keywords","คำสำคัญ"
"Last Modified","แก้ไขล่าสุด"
"Layout","แผนผัง"
"Layout Update XML","อัพเดทแผนผัง XML"
"Manage Pages","จัดการหน้าเว็บ"
"Meta Data","ข้อมูล Meta"
"Meta Description","รายละเอียดเมต้า"
"Meta Keywords","เมต้าคีย์เวิร์ด"
"New Block","Block ใหม่"
"New Page","หน้าใหม่"
"Page Identifier cannot consist only of numbers.","ไม่มีหน้าประกอบด้วยหมายเลขเท่านั้น"
"Page Identifier for specified store already exist.","มีหน้าสำหรับร้านเรียบร้อยแล้ว"
"Page Information","ข้อมูลหน้าเว็บ"
"Page Status","สถานะหน้าเว็บ"
"Page Title","หัวข้อหน้าเว็บ"
"Page was successfully deleted","ลบหน้าเว็บแล้ว"
"Page was successfully saved","บันทึกหน้าเว็บแล้ว"
"Poll Manager","การจัดการโพล"
"Product Tax Class Information","ข้อมูลคลาสภาษีของสินค้า"
"SEF URL Identifier","SEF URL Identifier"
"Save Block","บันทึก Block"
"Save Page","บันทึกหน้า"
"Show breadcrumbs for CMS pages","แสดง ฺBreadcrumb สำหรับหน้า CMS"
"Static Blocks","Static Block"
"Status","สถานะ"
"Store View","มุมมองร้านค้า"
"Such a block identifier in selected store already exist.","มี block นี้ในร้านค้าเรียบร้อยแล้ว"
"The page you are trying to save no longer exists","ไม่มีหน้าที่คุณพยายามบันทึกข้อมูล"
"This block no longer exists","ไม่มี Block นี้อยู่"
"This page no longer exists","ไม่มีหน้านี้"
"Title","หัวข้อ"
"Unable to find a block to delete","ไม่พบ Block ที่ต้องการลบ"
"Unable to find a page to delete","ไม่พบหน้าที่ต้องการลบ"
