"%s is not supported currency.","%s is een niet ondersteunde valuta"
"Accept","Accepteren"
"Basic","Basis"
"Cannot retreive rate from strikeirion.","Cannot retreive rate from strikeirion"
"Cannot retrieve rate from %s to %s","Cannot retrieve rate from %s to %s"
"Check all email servers","Controleer alle e-mail servers"
"Complete","Voltooid"
"Country/Region/Postal code combination","Combinatie van land, regio en postcode"
"Customer Tax Class","BTW-tariefgroep klant"
"Email Verification","E-mail verificatie"
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","E-mail adres kan niet geverifieerd worden. Controleer opnieuw en kijk of u uw e-mail adres goed heeft ingevuld."
"Enable US address verification","Schakel verificatie voor Amerikaanse adressen in"
"Enable email verification","Schakel email verificatie in"
"Enable foreign exchange rate","Enable foreign exchange rate"
"Enable global address verification","Enable global address verification"
"Enable sales and use tax","Enable sales and use tax"
"Error Email Recipient","Fout e-mail ontvanger"
"Error Email Sender","Fout e-mail afzender"
"Error Email Template","Fout e-mail template"
"Error address action","Error address action"
"Foreign Exchange Rates","Foreign Exchange Rates"
"Global Address Verification","Global Address Verification"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate."
"Invalid email address","Ongeldig e-mailadres"
"Maximum tax rate","Maximum tax rate"
"Minimum tax rate","Minimum tax rate"
"Password","Wachtwoord"
"Pop up warning and accept","Pop up warning and accept"
"Product Tax Class","BTW-tariefgroep product"
"Reject","Weigeren"
"Sales and Use Tax","Verkoop- en verbruiksbelasting"
"Sales and Use Tax Type","Sales and Use Tax Type"
"Strikeiron","Strikeiron"
"Strikeiron Config","Strikeiron Configuratie"
"Strikeiron Section","Strikeiron Sectie"
"Strikeiron foreign exchange rate is disabled","Strikeiron foreign exchange rate is disabled"
"Tax","BTW"
"There is an error in retrieving tax rate. Please contact us","There is an error in retrieving tax rate. Please contact us"
"There is an error in verifying an email. Please contact us.","There is an error in verifying an email. Please contact us."
"There is no more hits remaining for the foreign Exchange Rate Service.","There is no more hits remaining for the foreign Exchange Rate Service."
"There is no response back from Strikeiron server","De Strikeiron server reageert niet"
"US Address Verification","V.S. adres verificatie"
"Undetermined email action","Email actie niet gekend"
"Use","Gebruik"
"User ID","Gebruiker-ID"
"Verify address in admin","Controleer adres in admin"
"Verify email in admin","Controleer e-mail in admin"
