"Action","選択"
"Add Sitemap","サイトマップ追加"
"Always","常に"
"CMS Pages Options","CMSページオプション"
"Categories Options","カテゴリーオプション"
"Daily","1日ごと"
"Edit Sitemap","サイトマップ編集"
"Enabled","有効"
"Error Email Recipient","Email受信者エラー"
"Error Email Sender","Email送信者エラー"
"Error Email Template","Emailテンプレートエラー"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","ファイル ""%s"" は保存できません。ディレクトリ ""%s"" がウェブサーバより書き込み可能であることを確認してください。"
"Filename","ファイル名"
"Frequency","頻度"
"Generate","生成"
"Generation Settings","生成設定"
"Google Sitemap","Googleサイトマップ"
"Google Sitemap Section","Googleサイトマップ欄"
"Hourly","1時間ごと"
"ID","ID"
"Last Time Generated","最終生成時"
"Link for Google","Googleへリンク"
"Monthly","月ごと"
"Never","まだ"
"New Sitemap","新しいサイトマップ"
"Path","パス"
"Please create the specified folder ""%s"" before saving the sitemap.","サイトマップを保存する前に保存先フォルダ ""%s"" を指定してください。"
"Please define correct path","正しいパスを指定してください"
"Please make sure that ""%s"" is writable by web-server."," ""%s"" がウェブサーバより書き込み可能であることを確認してください。"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","ファイル名には、アルファベット(a-z or A-Z), 数字(0-9) またはアンダースコア(_) のみ使用してください。空白や他の文字は使用不可です。"
"Priority","優先度"
"Priority must be between 0 and 1","優先度は0と1の間で設定してください"
"Products Options","商品オプション"
"Sitemap","サイトマップ"
"Sitemap ""%s"" has been successfully generated","サイトマップ ""%s"" は生成されました。"
"Sitemap generate Warnings","サイトマップは警告を作成しました"
"Sitemap was successfully deleted","サイトマップは正常に削除されました"
"Sitemap was successfully saved","サイトマップは正常に保存されました"
"Start Time","開始時間"
"Store View","ストアビュー"
"This sitemap no longer exists","このサイトマップはもう存在していません"
"Unable to find a sitemap to delete","削除対象のサイトマップが見つかりません"
"Unable to find a sitemap to generate","生成するサイトマップの検索ができません"
"Unable to generate a sitemap","サイトマップの生成ができません"
"Valid values range from 0.0 to 1.0","0.0 から 1.0 の範囲は不正な値です。"
"Weekly","週ごと"
"Yearly","年ごと"
