"%d Review(s)","%d review(s)"
"%s Review(s)","%s review(s)"
"(Posted on %s)","(Geplaatst op %s)"
"1 star","1  ster"
"2 stars","2 sterren"
"3 stars","3 sterren"
"4 stars","4 sterren"
"5 stars","5 sterren"
"Add New Review","Nieuwe review toevoegen"
"Add Your Review","Uw review toevoegen"
"Administrator","Admin"
"All Reviews","Alle reviews"
"All reviews of customer `%s`","Alle reviews van klant '%s'"
"Allow guests to write reviews","Reviews  van gasten toestaan"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt?"
"Are you sure?","Weet u het zeker?"
"Average Customer Rating","Gemiddelde klantenwaardering"
"Average Customer Rating:","Gemiddelde klantenwaardering:"
"Back","Terug"
"Back to Main Product Info","Terug naar productpagina"
"Back to My Reviews","Terug naar mijn reviews"
"Back to Product Reviews","Terug naar productreviews"
"Be the first to review this product","Schrijf de eerste review van dit product"
"Created On","Aangemaakt op"
"Customer","Klant"
"Customer Reviews","Klantenreviews"
"Delete","Verwijder"
"Delete Review","Review verwijderen"
"Detailed Rating","Gedetailleerde waardering"
"Edit Review '%s'","Review wijzigen: ‘%s’"
"Guest","Gast"
"How do you rate this product?","Hoe waardeert u dit product?"
"ID","ID"
"Manage Ratings","Beheer ratings"
"My Product Reviews","Mijn productreviews"
"My Recent Reviews","Mijn recente reviews"
"Name","Naam"
"Name In Store","Naam in winkel"
"New Review","Nieuwe review"
"Nickname","Schermnaam"
"Pending Reviews","Te modereren reviews"
"Pending reviews","Te modereren reviews"
"Pending reviews of customer `%s`","Te modereren reviews van klant '%s'"
"Please select a product","Selecteer een product aub"
"Please select one of each of the ratings above","Selecteer een van de waarderingen hierboven"
"Posted By","Geplaatst door"
"Price","Prijs"
"Product","Product"
"Product Name","Productnaam"
"Product Rating","Productwaardering"
"Product Rating:","Productwaardering:"
"Product Review (submitted on %s):","Productreview (ingestuurd op %s):"
"Product Reviews","Product-reviews"
"Product SKU","Artikelnummer"
"Qty","Aantal"
"Rating:","Waardering:"
"Review","Review"
"Review Details","Details review"
"Review by %s","Review door %s"
"Reviews and Ratings","Reviews en ratings"
"SKU","Artikelnummer"
"Save Review","Review opslaan"
"Status","Status"
"Submit Review","Review versturen"
"Summary Rating","Samenvatting waardering"
"Summary of Review","Samenvatting van review"
"Summary of Your Review","Samenvatting van uw review"
"Summary of review","Samenvatting van review"
"Title","Titel"
"Type","Type"
"Unable to post review. Please, try again later.","Kon review niet plaatsen. Probeer later opnieuw."
"Update status","Status updaten"
"View All Reviews","Alle reviews bekijken"
"View Details","Details bekijken"
"Visible In","Zichtbaar in"
"Websites","Websites"
"Write Your Own Review","Schrijf uw eigen review"
"You have submitted no reviews.","U hebt geen reviews verstuurd."
"You're reviewing: %s","U werkt aan review: %s"
"Your Rating:","Uw waardering:"
"Your Review (submitted on %s):","Uw review (verstuurd op %s):"
"Your review has been accepted for moderation","Dank voor uw bijdrage. Uw review is geaccepteerd voor controle op taalgebruik."
"OR","OR"
"My Product Reviews","My Product Reviews"
