"Actions","Acties"
"Active","Actief"
"Add New Rule","Nieuwe regel toevoegen"
"Apply Rules","Regels toepassen"
"Attribute Set","Attributenset"
"Catalog","Catalogus"
"Catalog Price Rule","Catalogus Prijsregel"
"Catalog Price Rules","Catalogus prijsregels"
"Category","Categorie"
"Comments History","Eerdere notities"
"Conditions","Voorwaarden"
"Conditions (leave blank for all products)","Condities (laat leeg voor alle producten)"
"Conditions Combination","Voorwaarden combinatie"
"Credit Memos","Creditnota's"
"Customer Groups","Klantengroepen"
"Customer is new buyer: %s","Klant is nieuwe koper: %s"
"Customer registered: %s","Klant geregistreerd: %s"
"Date Expire","Verloopdatum"
"Date From","Datum vanaf"
"Date Start","Begindatum"
"Date To","Datum tot"
"Delete Rule","Regel verwijderen"
"Description","Beschrijving"
"Description: %s","Omschrijving: %s"
"Edit Rule","Regel bewerken"
"Edit Rule '%s'","Regel ‘%s’ bewerken"
"Expire at: %s","Verloopt op: %s"
"From Date","Vanaf datum"
"General Information","Algemene Informatie"
"Gift Messages","Cadeau-berichten"
"ID","ID"
"Inactive","Inactief"
"Invoices","Facturen"
"NOT LOGGED IN","NIET INGELOGD"
"Name: %s","Naam: %s"
"New Rule","Nieuwe regel"
"No","Nee"
"Options","Opties"
"Order Credit Memos","Creditnota's bij bestelling"
"Order Gift Messages","Cadeau-berichten bij bestelling"
"Order History","Bestelgeschiedenis"
"Order Invoices","Facturen"
"Order Shipments","Verzendingen bij bestelling"
"Priority","Prioriteit"
"Product Attribute","Product-attribuut"
"Promotions","Promoties"
"Rule Information","Regelgegevens"
"Rule Name","Regelnaam"
"Rule was successfully deleted","Regel is mdg succes verwijderd"
"Rule was successfully saved","Regel is met succes opgeslagen"
"Rules were successfully applied","Regels zijn met succes toegepast"
"Save Rule","Regel opslaan"
"Save and Apply","Opslaan en toepassen"
"Shipments","Verzendingen"
"Start at: %s","Begin op: %s"
"Status","Status"
"Stop further rules processing","Stop met verder uitvoeren van regels"
"The page you are trying to save no longer exists","De pagina die u probeert op te slaan bestaat niet meer"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","Er zijn regels gewijzigd, maar niet toegepast. Klik op 'Regels toepassen' om direct het resultaat te zien in de catalogus."
"This rule no longer exists","Deze regel bestaat niet meer"
"To Date","Tot datum"
"Unable to apply rules","Kan regels niet toepassen"
"Unable to find a page to delete","Kan geen pagina vinden om te verwijderen"
"Update product's %s %s: %s","Producten %s %s: %s updaten"
"Websites","Websites"
"Yes","Ja"
