"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Link</a>"
"Access denied to destination folder ""%s""","Hozzáférés megtagadva a célkönyvtárhoz ""%s"""
"Could not load file: ""%s""","Fájl betöltése nem sikerült: ""%s"""
"Could not save file: %s","Fájl mentése nem sikerült: %s"
"Declared adapter %s not found","Megadott adapter %s nem található"
"Destination folder ""%s"" does not exist or not access to create","Cél mappa ""%s"" nem létezik vagy nincs jogosultság a létrehozásához"
"Destination folder ""%s"" is not a directory","Cél mappa ""%s"" nem érvényes könyvtár"
"Destination folder ""%s"" is not a writeable","Cél mappa ""%s"" nem írható"
"Done","Rendben"
"Dry run set, stopping execution","Dry run beállítás, futtatás leállítása"
"ETA: %s","ETA: %s"
"Error field mapping! Fields list for mapping is not defined","Hibás társítás! Mezők a társításhoz nem lettek megadva"
"Error occured during file opening: ""%s""","Hiba lépett fel a fájl megnyitása közben: ""%s"""
"File ""%s"" don't exist","Fájl ""%s"" nem létezik"
"Found %d rows","Találtam %d mezőt"
"Less than a minute","Kevesebb mint egy perc"
"Loaded successfully: ""%s""","Sikeresen betöltve: ""%s"""
"Memory Used: %s","Memória használat: %s"
"Method ""%s"" not defined in adapter %s","Módszer ""%s"" nincs definiálva ebben az adapterben %s"
"Please declare ""adapter"" and ""method"" node first","Adjon meg ""adapter"" és ""method"" csomópontot először"
"Processed records: %s","Feldolgozott rekordok: %s"
"Saved successfully: ""%s"" [%d byte(s)]","Sikeresen elmentve: ""%s"" [%d byte]"
"Sheet 1","Munkalap 1"
"Skip undefined row","Nem meghatározott rekord átugrása"
"Starting %s :: %s","Kezdés %s :: %s"
"Total records: %s","Összes rekord: %s"
"hour","óra"
"hours","óra"
"minute","perc"
"minutes","perc"
