"%1$s has been updated in your wishlist.",%1$s a fost actualizat în lista dvs. de dorințe.
"%d product(s) have been added to shopping cart: %s.",%d produs(e) a(u) fost adăugat(e) în coș: %s.
"%s for ""%s"".",%s pentru "%s".
"%s has been moved to wishlist %s",%s a fost mutat la lista de dorințe %s
"%s's Wishlist",Lista de Dorințe a lui %s
"* Required Fields",* Câmpuri Obligatorii
"Add All to Cart",Adăugare Toate în Coș
"Add to Cart",Adăugare in Coș
"Add to Compare",Adăugare la Comparație
"Add to Wishlist",Adăugare Listă Dorințe
"Added From",Adăugat De La
"An error occurred while adding item to wishlist.",Eroare la adăugarea articolului la lista de dorințe.
"An error occurred while adding item to wishlist: %s",Eroare la adăugarea articolului la lista de dorințe: %s
"An error occurred while deleting the item from wishlist.",Eroare la ștergerea articolului din lista de dorințe.
"An error occurred while deleting the item from wishlist: %s",Eroare la ștergerea articolului din lista de dorințe: %s
"An error occurred while updating wishlist.",Eroare la actualizarea listei de dorințe.
"Are you sure you want to remove this product from your wishlist?",Sunteți sigur că vreți să ștergeți produsul din lista de dorințe?
"Are you sure you would like to remove this item from the wishlist?",Sunteți sigur că vreți să stergeți articolul din lista de dorințe?
"Back",Înapoi
"Can\'t delete item from wishlist",Nu se poate șterge articolul din lista de dorințe
"Can\'t save description %s",Nu se poate salva descrierea %s
"Can\'t update wishlist",Nu se poate actualiza lista de dorințe
"Cannot add item to shopping cart",Nu se poate adăuga articol la coș de cumpărături
"Cannot add the following product(s) to shopping cart: %s.",Nu se pot adăuga următoarele produse în coșul de cumpărături: %s.
"Cannot add the item to shopping cart.",Nu se poate adăuga articolul la coșul de cumpărături.
"Cannot configure product",Nu se poate configura produsul
"Cannot load wishlist item",Nu se poate încărca articolul din lista de dorințe
"Cannot move item to wishlist",Nu se poate muta articolul la lista de dorințe
"Cannot specify product.",Nu se poate specifica produsul.
"Cannot specify wishlist item.",Nu se poate specifica articolul din lista de dorințe.
"Cannot specify wishlist.",Nu se poate specifica lista de dorințe.
"Cannot update wishlist",Nu se poate actualiza lista de dorințe
"Check this checkbox if you want to add a link to an rss feed to your wishlist.",Bifați dacă vreți să adăugați o legătură spre un feed RSS în lista dvs. de dorințe.
"Click for price",Click pentru preț
"Comment",Comentariu
"Comment:",Comentariu:
"Configure Wishlist Item",Configurare Articol Listă de Dorințe
"Configured Price:",Preț Configurat:
"Could not find such wishlist",Nu se poate găsi o asemenea listă de dorințe
"Could not find wishlist",Nu s-a putut găsi lista de dorințe
"Customer My Account My Wishlist",Client Contul Meu Lista Mea de Dorințe
"Customer My Account Wishlist Sharing Form",Client Contul Meu Formular Partajare Listă de Dorințe
"Customer Shared Wishlist View",Vizualizare Listă de Dorințe Partajată de Client
"Date Added",Data Adăugării
"Days in Wishlist",Zile în Lista de Dorințe
"Display Wishlist Summary",Afișare Sumar Listă de Dorințe
"Edit",Editare
"Email Sender",Expeditor E-mail
"Email Template",Șablon E-mail
"Email address can\'t be empty.",Adresa e-mail nu poate fi goală.
"Email addresses, separated by commas","Adrese e-mail, separate de virgulă"
"Enabled",Activat
"General Options",Opțiuni Generale
"Go to Wishlist",Mergeți la Lista de Dorințe
"Helper for wishlist options rendering doesn't implement required interface.",Helper-ul pentru randarea opțiunilor listei de dorințe nu implementează interfața necesară.
"In stock",În stoc
"Last Added Items",Ultimele Articole Adăugate
"Message",Mesaj
"My Wishlist",Lista mea de Dorinţe
"My Wishlist (%d item)",Lista mea de Dorinţe (%d articol)
"My Wishlist (%d items)",Lista mea de Dorinţe (%d articole)
"My Wishlist <small>(%d)</small>",Lista mea de Dorinţe <small>(%d)</small>
"My Wishlist Link",Legătură Lista Mea de Dorințe
"Options Details",Detalii Opțiuni
"Out of stock",Stoc Epuizat
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Introduceți adrese de e-mail valide, separate de virgulă. De exemplu, ionpopescu@domeniu.ro."
"Please input a valid email address.",Vă rugăm introduceți o adresă e-mail validă.
"Please, enter your comments...",Introduceți comentariile...
"Product",Produs
"Product Details and Comment",Detalii Produs și Comentarii
"Product(s) %s have required options. Each of them can be added to cart separately only.",Produsul(ele) %s are(au) opțiuni obligatorii. Fiecare dintre ele pot fi adăugate în coș numai separat.
"Product(s) %s have required options. Each product can only be added individually.",Produsele %s au opțiuni necesare. Fiecare produs poate fi adăugat numai individual.
"RSS Feed",Feed RSS
"RSS link to %s's wishlist",Legătură RSS către lista de dorințe a lui %s'
"Remove Item",Ștergere Articol
"Remove This Item",Eliminare Acest Articol
"Remove item",Eliminare articol
"Requested cart item doesn't exist",Articolul solicitat din coș nu există
"Requested wishlist doesn't exist",Lista de dorințe solicitată nu există
"Share Options",Opțiuni Partajare
"Share Wishlist",Partajare Lista de Dorințe
"Share Your Wishlist",Partajați-vă Lista de Dorințe
"Sharing Information",Informații Partajare
"This Wishlist has no Items",Această Listă de Dorințe nu are Articole
"This product(s) is currently out of stock",Acest(e) produs(e) are(au) momentan stocul epuizat
"Unable to add the following product(s) to shopping cart: %s.",Nu se poate adăuga următorul(oarele) produs(e) la coșul de cumpărături: %s.
"Update Wishlist",Actualizare Listă Dorințe
"User Description",Descriere Utilizator
"View Details",Vizualizare Detalii
"View Product",Vizualizare Produs
"What's this?",Ce e asta?
"Wishlist",Lista de Dorințe
"Wishlist Section",Secțiunea Listă de Dorințe
"Wishlist Sharing",Partajare Listă de Dorințe
"Wishlist could not be created.",Lista de dorințe nu a putut fi creată.
"Wishlist is empty now.",Lista de dorințe e goală.
"You have no items in your wishlist.",Nu aveți nimic în lista de dorințe.
"Your Wishlist has been shared.",Lista dvs. de dorințe a fost partajată.
