"* Required Fields","* Задължителни полета"
"Add","Добави"
"Add Gift Message","Добави поздравително съобщение"
"Allow Gift Messages for Order Items","Позволи съобщения за подарък на поръчките."
"Allow Gift Messages on Order Level","Позволи съобщения за подарък на ниво поръчка"
"Are you sure?","Сигурен ли сте?"
"Cancel","Отказ"
"Check this checkbox if you want to add gift messages to your items.","Изберете тази отметка ако искате да добавите съобщения за подарък към вашите продукти."
"Check this checkbox if you want to add gift messages.","Изберете тази отметка ако искате да добавите съобщения за подарък."
"Close","Затвори"
"Do you have any gift items in your order?","Имате ли продукт за подарък във Вашата поръчка?"
"Edit","Редактирай"
"Edit Gift Message","Редактирай поздравителното съобщение"
"Enter a gift message for each item in your order.","Въведете съобщение за подарък за всеки продукт във Вашата поръчка."
"Enter a gift message for entire order.","Въведете съобщение за подарък за цялата поръчка."
"Enter a gift message for this address.","Въведете съобщение за подарък за този адрес."
"Error while saving gift message","Грешка при запазване на поздравителното съобщение"
"From","От"
"Gift Message","Поздравително съобщение"
"Gift Messages","Съобщения за подарък"
"Gift message has been successfully saved","Поздравителното съобщение е успешно запазено"
"Item %d of %d","Продукт %d от %d"
"Message","Съобщение"
"No","Не"
"Remove","Премахни"
"Save","Запази"
"Save Gift Message","Запиши съобщение за подарък"
"To","До"
"Unknown entity type","Непознат тип на единица информация"
"Use config","Използвай конфигурация"
"Yes","Да"
"You can leave a box blank if you don't wish to add a gift message for the item.","Оставете бланката празна ако не искате да добавяте поздравително съобщение за този продукт."
"You can leave a box blank if you don't wish to add a gift message for this address.","Оставете бланката празна ако не искате да добавяте поздравително съобщение за този адрес."
"You can leave a box blank if you don't wish to add a gift message for whole order.","Оставете бланката празна ако не искате да добавяте поздравително съобщение за цялата поръчка."
"Your gift message has been successfully removed","Вашето поздравително съобщение е премахнато успешно"
"Your gift message has been successfully saved","Вашето поздравително съобщение е успешно записано"
"Your gift message successfully removed","Вашето поздравително съобщение е премахнато"
"Your gift message successfully saved","Вашето поздравително съобщение е записано"
