" was not delivered nor scanned"," ei toimitettu"
"1 Day Freight","1 päivän toimitus"
"2 Day Freight","2 päivän toimitus"
"2Day","2 päivää"
"2nd Day Air","2nd Day Air"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air Letter","2nd Day Air Letter"
"3 Day Freight","3 päivän toimitus"
"3 Day Select","3 Day Select"
"Access ID","Access ID"
"Access license number","Access license number"
"Account ID","Tilin tunniste"
"Account number","Tilinumero"
"Additional Protection Configuration Value","Additional Protection Configuration Value"
"Additional Protection Enabled","Additional Protection Enabled"
"Additional Protection Min Subtotal","Additional Protection Min Subtotal"
"Additional Protection Value","Additional Protection Value"
"Additional Protection Value Rounding Method","Additional Protection Value Rounding Method"
"All Services","Kaikki palvelut"
"Allowed methods","Sallitut tavat"
"Bound Printed Matter","Bound Printed Matter"
"Business Service Center","Business Service Center"
"Calculate Handling Fee","Laske käsittelykulu"
"Canada Standard","Canada Standard"
"Cannot retrieve shipping rates","Toimitusmaksua ei voida hakea"
"Commercial","Commercial"
"Configuration","Configuration"
"Container","Sisältö"
"Customer Packaging","Customer Packaging"
"DHL","DHL"
"Default Package Height","Default Package Height"
"Default Package Length","Default Package Length"
"Default Package Width","Default Package Width"
"Delivered","Toimitettu"
"Destination type","Kohteen tyyppi"
"Displayed Error Message","Näytettävä virheviesti"
"Domestic Shipment Days","Domestic Shipment Days"
"Drop Box","Pudotuslaatikko"
"Dropoff","Pudotetaan"
"Empty response","Ei vastausta"
"Enable Negotiated Rates","Enable Negotiated Rates"
"Enabled","Käytössä"
"Error #%s : %s (%s)","Virhe #%s : %s (%s)"
"Error #%s: %s","Virhe #%s: %s"
"Europe First Priority","Europe First Priority"
"Express","Express"
"Express 10:30 AM","Express 10:30"
"Express Mail","Express pikaposti"
"Express Saturday","Express lauantaijakelu"
"Express Saver","Express Saver"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx 10kg laatikko"
"FedEx 25kg Box","FedEx 25kg laatikko"
"FedEx Box","FedEx laatikko"
"FedEx Envelope","FedEx kuori"
"FedEx Pak","FedEx paketti"
"FedEx Tube","FedEx tuubi"
"First Overnight","Yön yli"
"First-Class","Ensimmäinen luokka"
"Flat","Kiinteä"
"Flat-Rate Box","Flat-Rate Box"
"Flat-Rate Envelope","Flat-Rate Envelope"
"Free method","Ilmainen tapa"
"Free shipping with minimum order amount","Ilmaistoimituksen tilauksen arvo vähintään"
"Gateway URL","Maksuliikenteen osoite"
"Gateway XML URL","Maksuliikenteen XML-osoite"
"Ground","Pohjusta"
"Ground Commercial","Ground Commercial"
"Ground Residential","Ground Residential"
"Handling Applied","Käsitelty tapa"
"Handling fee","Käsittelymaksu"
"Home Delivery","Kotiinkuljetus"
"International Economy","Kansainvälinen 2-luokka"
"International Express","Kansainvälinen pikatoimitus (Express)"
"International First","Kansainvälinen 1-luokka (?)"
"International Priority","Kansainvälinen 1-luokka"
"International Shipment Days","International Shipment Days"
"Intl Economy Freight","Kansainvälinen rahtimaksu 2-luokka"
"Intl Priority Freight","Kansaivälinen rahtimaksu 1-luokka"
"Invalid DHL XML code for type %s: %s","Virheellinen DHL XML-koodi tyypille %s: %s"
"Invalid DHL XML code type: %s","Virheellinen DHL XML-koodityyppi: %s"
"Invalid FedEx XML code for type %s: %s","Virheellinen FedEx XML-koodi tyypille %s: %s"
"Invalid FedEx XML code type: %s","Virheellinen FedEx XML-koodityyppi: %s"
"Invalid UPS CGI code for type %s: %s","Virheellinen UPS CGI -koodi tyypille %s: %s"
"Invalid UPS CGI code type: %s","Virheellinen UPS CGI-koodityyppi: %s"
"Invalid USPS XML code for type %s: %s","Virheellinen USPS XML-koodi tyypille %s: %s"
"Invalid USPS XML code type: %s","Virheellinen USPS XML-koodityyppi: %s"
