"Action","Ação"
"Add Sitemap","Adicionar mapa do site"
"Always","Sempre"
"CMS Pages Options","Opções de páginas CMS"
"Categories Options","Opções de categorias"
"Daily","Diariamente"
"Edit Sitemap","Editar mapa do site"
"Enabled","Habilitado"
"Error Email Recipient","Destinatário de e-mail de erro"
"Error Email Sender","Remetente de e-mail de erro"
"Error Email Template","Modelo de e-mail de erro"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Arquivo ""%s"" não pode ser salvo. Por favor, tenha certeza que o diretório ""%s"" tenha permissões de escrita pelo servidor web."
"Filename","Nome do arquivo"
"Frequency","Freqüência"
"Generate","Gerar"
"Generation Settings","Opções de geração"
"Google Sitemap","Mapa do site do Google"
"Google Sitemap Section","Seção do mapa do site do Google"
"Hourly","Horário"
"ID","ID"
"Last Time Generated","Gerado pela última vez"
"Link for Google","Link para o Google"
"Monthly","Mensal"
"Never","Nunca"
"New Sitemap","Novo mapa do site"
"Path","Caminho"
"Please create the specified folder ""%s"" before saving the sitemap.","Por favor, insira a pasta especificada ""%s"" antes de salvar o mapa do site"
"Please define correct path","Por favor, defina o caminho correto"
"Please make sure that ""%s"" is writable by web-server.","Por favor, tenha certeza que ""%s"" tenha permissões de escrita pelo servidor web"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Por favor, utilize somente letras (a-z ou A-Z), números (0-9) ou sublinhado (_) no nome do arquivo. Espaços ou outros caracteres não são permitidos."
"Priority","Prioridade"
"Priority must be between 0 and 1","Prioridade deve ser entre 0 e 1"
"Products Options","Opções de produtos"
"Sitemap","Mapa do site"
"Sitemap ""%s"" has been successfully generated","Mapa do site ""%s"" foi gerado com sucesso"
"Sitemap generate Warnings","Mapa do site gera alertas"
"Sitemap was successfully deleted","Mapa do site foi excluído com sucesso"
"Sitemap was successfully saved","Mapa do site foi salvo com sucesso"
"Start Time","Horário de início"
"Store View","Visão da loja"
"This sitemap no longer exists","Este mapa do site não existe mais"
"Unable to find a sitemap to delete","Não foi possível encontrar um mapa do site para excluir"
"Unable to find a sitemap to generate","Não foi possível encontrar um mapa do site para ser gerado"
"Unable to generate a sitemap","Não foi possível gerar o mapa do site"
"Valid values range from 0.0 to 1.0","Faixa de valores válidos de 0.0 a 1.0"
"Weekly","Semanal"
"Yearly","Anual"
