"Account login","Имя пользователя"
"Account password","Пароль"
"Active","Активен"
"Add Attribute Mapping","Добавить привязку атрибутов"
"Add New Attribute","Добавить атрибут"
"Add to Google Base","Добавить в Google Base"
"Are you sure?","Вы уверены?"
"Attribute","Атрибут"
"Attribute Set","Набор атрибутов"
"Attribute Set and Item Type","Набор атрибутов и тип элемента"
"Attributes","Атрибуты"
"Attributes Set","Набор атрибутов"
"Attributes mapping","Привязка атрибутов"
"AuthSub","AuthSub"
"Available Products","Доступные товары"
"British Pound Sterling","Британский фунт стерлингов"
"Cannot update Google Base Item for Store '%s'","Невозможно обновить элемент Google Base для магазина '%s'"
"Captcha confirmation error: %s","Код подтверждения введен неверно: %s"
"Captcha confirmed successfully","Код подтверждения введен правильно"
"Clicks","Переходов"
"ClientLogin","Вход клиента"
"Confirm","Подтвердить"
"Current Mapping will be reloaded. Continue?","Текущая привязка будет перезаписана. Продолжить?"
"Custom attribute, no mapping","Нестандартный атрибут, нет привязки"
"Default Store (%s)","Default Store (%s)"
"Delete","Удалить"
"Delete Mapping","Удалить привязку"
"Edit Item Type","Изменить тип элемента"
"Edit Item Type ""%s""","Изменить тип элемента ""%s"""
"Error: %s","Ошибка: %s"
"Euro","Евро"
"Expires","Истекает"
"Germany","Германия"
"Google Base","Google Base"
"Google Base Attribute","Атрибут Google Base"
"Google Base ID","ИД Google Base"
"Google Base Item Type","Тип элемента Google Base"
"Google Base Item type","Тип элемента Google Base"
"Google Base Items","Элементы Google Base"
"Hide","Скрыть"
"Impr.","Улучш."
"Invalid Product Model for Google Base Item","Неверная модель товара для элемента Google Base"
"Item Type was deleted","Тип элемента был удалён"
"Item Types","Типы элемента"
"Item model is not specified to delete Google Base entry","Не указана модель элемента для удаления записи Google Base"
"Item type was successfully saved","Тип элемента успешно сохранён"
"Items","Элементы"
"Manage Attribute Mapping","Управление привязкой атрибутов"
"Manage Attributes","Управление атрибутами"
"Manage Items","Управление элементами"
"New Item Type","Новый тип элемента"
"No","Нет"
"No items were deleted from Google Base","Нет товаров, удалённых из Google Base"
"No items were published","Нет опубликованных товаров"
"No items were saved as Inactive items","Нет товаров, сохранённых как «Неактивные товары»"
"No products were added to Google Base","Нет товаров, добавленных в Google Base"
"Object model is not specified to save Google Base entry","Не указана модель объекта для сохранения записи Google Base"
"Page views","Просмотров страницы"
"Please, select Attribute Set and Google Item Type to load attributes","Выберите «Набор атрибутов» и «Тип элемента Google» для загрузки атрибутов"
"Product Name","Название товара"
"Publish","Опубликовать"
"Published","Опубликовано"
"Remove","Удалить"
"Save Mapping","Сохранить привязку"
"Synchronize","Синхронизировать"
"Target Country","Целевая страна"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Это действие обновит статистику элементов и удалит элементы, которые больше недоступны в Google Base. Продолжить?"
"Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated","%d товар(ов) успешно удален(ы).  %d товар(ов) успешно обновлен(ы)"
"Total of %d items(s) were successfully published","%d товар(ов) успешно опубликован(ы)"
"Total of %d items(s) were successfully removed from Google Base","%d товар(ов) успешно удален(ы) из Google Base"
"Total of %d items(s) were successfully saved as Inactive items","%d товар(ов) успешно сохранен(ы) как «Неактивные товары»"
"Total of %d product(s) were successfully added to Google Base","%d товар(ов) успешно добавлен(ы) в Google Base"
"US Dollar","Американский доллар"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Невозможно соединиться с Google Base. Проверьте настройки учётной записи в конфигурации."
"United Kingdom","Великобритания"
"United States","США"
"Update Google Base item when product is updated","Обновлять товар в Google Base при обновлении в магазине"
"View Available Products","Посмотреть доступные товары"
"View Item in Google Base","Смотреть товары в Google Base"
"Yes","Да"
