"(eg: domain.com/identifier)","(napr: domena.sk/identifikator)"
"Layout Update XML","Aktualizácia schémy XML"
"CMS Home Page","Úvodná stránka CMS"
"Block was successfully saved","Blok bol úspešne uložený"
"Block was successfully deleted","Blok bol úspešne zmazaný"
"CMS","CMS"
"CMS Blocks","CMS Blocks"
"CMS Pages","CMS Pages"
"Date Created","Dátum vytvorenia"
"Edit Block","Editovať blok"
"Edit Block '%s'","Editovať blok '%s'"
"Edit Page","Editovať stránku"
"Edit Page '%s'","Editovať stránku '%s'"
"Identifier","Identifikátor"
"Page Identifier for specified store already exist.","Identifikátor stránok pre určený obchod už existuje."
"Page Identifier cannot consist only of numbers.","Identifikátor stránok sa nemôže skladať iba z čísel."
"Block Information","Informácie o bloku"
"Product Tax Class Information","Informácie o daňovej kategórii produktu"
"Customer Tax Class Information","Informácie o daňovej triede zákazníka"
"Page Information","Informácie o stránke"
"Keywords","Kľúčové slová"
"Manage Blocks","Manage Blocks"
"Meta Data","Meta dáta"
"Meta Keywords","Meta Kľúčové slová"
"Meta Description","Meta Popis"
"Go to Home Page","Na úvodnú stránku"
"Last Modified","Naposledy zmenené"
"CMS No Route Page","Nenájdená stránka CMS"
"Unable to find a block to delete","Nie je možné nájsť blok k zmazaniu"
"Unable to find a page to delete","Nie je možné nájsť stránku k zmazaniu"
"New Page","Nová stránka"
"New Block","Nový blok"
"Content","Obsah"
"Action","Operácia"
"Description","Popis"
"Preview","Preview"
"Add New Page","Pridať novú stránku"
"Add New Block","Pridať nový blok"
"Such a block identifier in selected store already exist.","Rovnako, ako identifikáror bloku vo vybranom obchode už existuje."
"Layout","Schéma"
"Poll Manager","Správa ankiet"
"Manage Pages","Správa stránok"
"Static Blocks","Statické bloky"
"Status","Stav"
"Page Status","Stav stránky"
"Page was successfully saved","Stránka bola úspešne uložená"
"Page was successfully deleted","Stránka bola úspešne zmazaná"
"The page you are trying to save no longer exists","Stránka, ktorú sa pokúšate uložiť už neexistuje"
"This page no longer exists","Táto stránka už neexistuje"
"This block no longer exists","Tento blok už neexistuje"
"Home","Titulka"
"Title","Titulok"
"Block Title","Titulok bloku"
"Page Title","Titulok stránky"
"Save Block","Uložiť blok"
"Save Page","Uložiť stránku"
"SEF URL Identifier","URL identifikátor produktu"
"General Information","Všeobecné informácie"
"All countries","Všetky krajiny"
"Custom Theme","Vlastná šablóna"
"Custom Theme To","Vlastná šablóna pre"
"Custom Theme From","Vlastná šablóna z"
"Custom Design","Vlastný vzhľad"
"Disabled","Vypnuté"
"Enabled","Zapnuté"
"Delete Block","Zmazať blok"
"Delete Page","Zmazať stránku"
"Store View","Zobrazenie: Obchod"
"Show breadcrumbs for CMS pages","Zobrazovať trasovaciu navigáciu na stránkach CMS"
