"Alert Email Sender","Alerta de correo electrónico"
"Alert subscription was deleted successfully","La subscripción de la alerta fue borrada con éxito"
"Alert subscription was saved successfully","La subscripción de la alerta fue guardada con éxito"
"Allow alert when product comes back in stock","Permitir alerta cuando un producto regrese a existencia"
"Allow alert when product price changes","Permitir alerta cuando el precio del producto cambie"
"Click here not to receive alerts for this product","Presione aqui para no recibir alertas para este producto"
"Error Email Recipient","Error del correo electrónico del destinatario"
"Error Email Sender","Error del correo electrónico del remitente"
"Error Email Template","Error de la plantilla del correo electrónico"
"Frequency","Frecuencia"
"Not enough parameters","No hay suficientes parámetros"
"Please try again later","Por favor intente más tarde"
"Price alert Email Template","Plantilla de correo de alerta de precio"
"Price:","Precio:"
"Product Alerts","Alertas del producto"
"Product Alerts Run Settings","Configuraciones de ejecución de alertas del producto"
"Product alerts Cron error","Error de Cron de las alertas del producto"
"Product not found","Producto no encontrado"
"Product price alert","Alerta de precio del producto"
"Product stock alert","Alerta de existencia del producto"
"Sign up for price alert","Regístrese para la alerta de precio"
"Sign up to get notified when this product is back in stock","Regístrese para ser notificado cuando este producto se encuentre de nuevo en existencia"
"Special price:","Precio especial:"
"Start Time","Hora de inicio"
"Stock alert Email Template","Plantilla de correo electrónico de alerta de existencia"
"Unsubscribe from all price alerts","Desubscribirse de todas las alertas de precios"
"Unsubscribe from all stock alerts","Desubscribirse de todas las alertas de existencias"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Usted está recibiendo esta notificación porque se subscribió para recibir alertas cuando vuelva a haber existencia de los siguientes productos:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Usted está recibiendo esta notificación porque se subscribió para recibir alertas cuando cambien los precios de los siguientes productos:"
"You will no longer receive price alerts for this product","Ya no recibirá alertas de precio para este producto"
"You will no longer receive stock alerts","Ya no recibirá alertas de existencia"
"You will no longer receive stock alerts for this product","Ya no recibirá alertas de existencia para este producto"
