"Add Recipient","Προσθήκη Παραλήπτη"
"Allow for Guests","Επιτρέπεται για Επισκέπτες"
"Email Address","Διεύθυνση Email"
"Email Address:","Διεύθυνση Email:"
"Email templates","Πρότυπα Email"
"Email to a Friend","Email προς ένα Φίλο"
"Email:","Email:"
"Enabled","Ενεργοποιημένο"
"Limit Sending By","Περιορισμός Αποοστολής Ανα"
"Link to a friend was sent.","Απεστάλη ο σύνδεσμος προς ένα φίλο."
"Max Products Sent in 1 Hour","Μέγ. Αριθμός Προϊόντων που Απεστάλησαν σε 1 Ώρα"
"Max Recipients","Μέγ. Αριθμός Παραληπτών"
"Maximum %d email addresses allowed.","Επιτρέπονται στο μέγιστο %d διευθύνσεις email."
"Message:","Μήνυμα:"
"Name","Όνομα"
"Name:","Όνομα:"
"Recipient:","Παραλήπτης:"
"Remove Email","Αφαίρεση Email"
"Select email template","Επιλογή προτύπου email"
"Send email","Αποστολή email"
"Send product to a friend","Αποστολή προϊόντος σε ένα φίλο"
"Sender:","Αποστολέας:"
"Some emails was not sent","Μερικά email δεν στάλθηκαν"
"Some problems with data.","Μερικά προβλήματα με τα δεδομένα."
"You cannot email this product to a friend","Δε μπορείτε να στείλετε με email αυτό το προϊόν σε ένα φίλο"
"You cannot send more than %d times in an hour","Δε μπορείτε να αποστείλετε περισσότερες από %d φορές μέσα σε μία ώρα"
