"Action","Actie"
"All types","Alle types"
"Backup file ""%s"" can't read or write","Backup-bestand ""%s"" kan niet lezen of schrijven"
"Backup file ""%s"" doesn't exist","Backup-bestand ""%s"" bestaat niet"
"Backup file doesn't exist","Backup-bestand bestaat niet"
"Backup file handler don't specify","Handler van backup-bestand niet gespecificeerd"
"Backup file path don't specify","Backup-bestandspad niet gespecificeerd"
"Backups","Back-ups"
"Cannot read backup file","Kan backup-bestand niet lezen"
"Create Backup","Backup maken"
"DB","DB"
"Database was successfuly backed up.","Database-backup is met succes gemaakt"
"Download","Download"
"Error write to Backup file ""%s""","Fout tijdens het schrijven naar backup-bestand ""%s"""
"File compressed with Zlib, but this extension is not installed on server","Bestand gecomprimeerd met Zlib, maar deze extensie is niet ge&iuml;nstalleerd op de server"
"Size, byte","Grootte, byte"
"Time","Tijd"
"Type","Type"
"Unable to create backup. Please, try again later.","Kon geen backup maken. Probeer later opnieuw a.u.b."
"Wrong order of creation for new backup","Verkeerde aanmaak-volgorde voor nieuwe backup"
