"Actions","Művelet"
"Active","Aktív"
"Add New Rule","Új szabály hozzáadása"
"Apply","Elfogad"
"Apply the rule only if the following conditions are met (leave blank for all products)","A szabály csak akkor teljesüljön ha az alábbi feltételek teljesülnek (hagyja üresen minden termékhez)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","A szabály csak akkor teljesüljön ha a kosár tételei megegyeznek a következő feltételekkel (hagyja üresen minden termékhez)"
"Apply the rule to cart items matching the following conditions","Szabály érvényesítése a kosár tételeire amik megfelelnek a következő feltételeknek"
"Apply to","Érvényesít erre"
"Buy X get Y free (discount amount is Y)","X-et vesz Y-t kap ajándékba. (engedmény értéke Y)"
"By Fixed Amount","Fix összeggel"
"By Fixed value","Fis mértékkel"
"By Percentage","Százalékkal"
"By Percentage of the original price","Az eredeti ár százalékával"
"Cart Attribute","Kosár jellemzők"
"Catalog","Katalógus"
"Conditions","Feltételek"
"Conditions combination","Feltételek kombinációja"
"Coupon Code","Kupon kód"
"Coupon code","Kupon kód"
"Customer Groups","Vevői csoportok"
"Customer is new buyer: %s","Vásárló új vevő: %s"
"Customer registered: %s","Vásárló regisztrált: %s"
"Date Expire","Lejárat"
"Date Start","Kezdés"
"Delete Rule","Szabály törlése"
"Description","Leírás"
"Description: %s","Leírás: %s"
"Discount Qty Step (Buy X)","Kedvezmény lépcső (Vegyen X-et)"
"Discount amount","Kedvezmény mérték"
"Edit Rule","Szabály szerkesztése"
"Edit Rule '%s'","Szabály szerkesztése '%s'"
"Expire at: %s","Lejárat: %s"
"Fixed amount discount","Fix összegű kedvezmény"
"Fixed amount discount for whole cart","Fix összegű kedvezmény az egész kosárra"
"For matching items only","Csak a megfelelő termékekre"
"For shipment with matching items","A megfelelő termékek szállítására is"
"Free shipping","Ingyenes szállítás"
"From Date","Kezdés"
"General Information","Főbb információk"
"ID","ID"
"Inactive","Érvénytelen"
"Maximum Qty Discount is Applied to","Maximális mennyiségi kedvezmény elfogadása"
"NOT LOGGED IN","NINCS BELÉPVE"
"Name: %s","Név: %s"
"New Rule","Új szabály"
"No","Nem"
"Payment Method","Fizetési mód"
"Percent of product price discount","Termék ár kedvezmény százaléka"
"Price in cart","Ár a kosárban"
"Priority","Prioritás"
"Product attribute combination","Termék jellemző kombinációk"
"Products subselection","Termék kiválasztás"
"Promotions","Promóciók"
"Public In RSS Feed","Publikus RSS hírforrás"
"Quantity in cart","Mennyiség a kosárban"
"Row total in cart","Végösszeg sor a kosárban"
"Rule Information","Szabály információk"
"Rule Name","Szabály neve"
"Rule was successfully deleted","Szabály sikeresen törölve"
"Rule was successfully saved","Szabály sikeresen mentve"
"Save Rule","Szabály mentése"
"Shipping Country","Szállítási ország"
"Shipping Method","Szállítási mód"
"Shipping Postcode","Szállítási irányítószám"
"Shipping Region","Szállítási régió"
"Shipping State/Province","Szállítási megye/régió"
"Shopping Cart Price Rule","Bevásárlókosár ár szabály"
"Shopping Cart Price Rules","Bevásárlókosár ár szabályok"
"Special price","Kedvezményes ár"
"Start at: %s","Kezdés: %s"
"Status","Állapot"
"Stop further rules processing","További szabályok futtatásának leállítása"
"Subtotal","Végösszeg"
"The page you are trying to save no longer exists","Az oldal amit menteni próbál már nem létezik"
"This rule no longer exists","Ez a szabály már nem létezik"
"To Date","Meddig"
"To Fixed Amount","Fix összegre"
"To Fixed Value","Fix értékre"
"To Percentage","Százalékra"
"To Percentage of the original price","Az eredeti ár százalékára"
"Total Items Quantity","Összes termék mennyisége"
"Total Weight","Teljes súly"
"Unable to find a page to delete","Nem található a törlendő oldal"
"Update prices using the following information","Árak frissítése a következő információk használatával"
"Update product's %s %s: %s","Termékek frissítése %s %s: %s"
"Update the Product","Termék frissítése"
"Uses per coupon","Használat/Kupon"
"Uses per customer","Használat/Vásárló"
"Yes","Igen"
