"Billing Information","Информация о плательщике"
"Change Payment Method","Изменить метод оплаты"
"Change Shipping Address","Изменить адрес доставки"
"Edit Shopping Cart","Редактировать корзину"
"Email","Email"
"Incl. Tax","Включая налог"
"Items in Your Shopping Cart","Товары в Вашей корзине"
"No shipping method required.","Доставка не требуется."
"PayPal Account","PayPal аккаунт"
"PayPal Email","PayPal Email"
"Payment Method","Метод оплаты"
"Place an Order","Разместить заказа"
"Please select a shipping method...","Выберите метод доставки"
"Price","Цена"
"Product Name","Название товара"
"Qty","Кол-во"
"Review Order","Обзор заказа"
"Shipping Address","Адрес доставки"
"Shipping Information","Информация о доставке"
"Shipping Method","Метод доставки"
"Sorry, no quotes are available for this order at this time.","К сожалению, в данный момент отсутствуют цены для этого заказа"
"Submitting order information...","Передача информации о заказе...."
"Subtotal","Предварительный итог"
"Update Shipping Method","Обновить метод доставки"
"You will be redirected to PayPal website when you place an order.","Вы будете перенаправлены на сайт PayPal, когда оформите заказ."
"You will be redirected to Paypal in a few seconds.","Вы будете перенаправлены на сайт Paypal через несколько секунд."
"Your billing address will be ignored and you will be redirected to PayPal website","Ваш адрес плательщика будет проигнорирован и Вы будете перенаправлены на сайт PayPal"
