"Account login","帐户登录"
"Account password","帐户密码"
"Active","启用"
"Add Attribute Mapping","添加属性映射（Mapping）"
"Add New Attribute","添加新属性"
"Add to Google Base","添加至Google Base"
"Are you sure?","您确定吗？"
"Attribute","属性"
"Attribute Set","属性分组"
"Attribute Set and Item Type","属性分组和商品类型"
"Attributes","属性"
"Attributes Set","属性分组"
"Attributes mapping","属性映射"
"AuthSub","AuthSub"
"Available Products","有库存商品"
"British Pound Sterling","英镑"
"Cannot update Google Base Item for Store '%s'","商店无法更新Google Base商品 '%s'"
"Captcha confirmation error: %s","Captcha（验证码）确认错误信息: %s"
"Captcha confirmed successfully","Captcha 确认成功"
"Clicks","点击"
"ClientLogin","客户登录"
"Confirm","确认"
"Current Mapping will be reloaded. Continue?","Mapping）将重载。继续？"""
"Custom attribute, no mapping","自定义属性，不加映射（Mapping）"
"Default Store (%s)","缺省商店 (%s)"
"Delete","删除"
"Delete Mapping","删除映射（Mapping）"
"Edit Item Type","编辑商品类型"
"Edit Item Type ""%s""","编辑商品类型 ""%s"""
"Error: %s","错误信息：%s"
"Euro","欧元"
"Expires","期满"
"Germany","德国"
"Google Base","Google Base"
"Google Base Attribute","Google Base属性"
"Google Base ID","Google Base ID"
"Google Base Item Type","Google Base商品类型"
"Google Base Item type","Google Base商品类型"
"Google Base Items","Google Base商品"
"Hide","隐藏"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Google Base商品型号不正确。"
"Item Type was deleted","商品类型已被删除"
"Item Types","商品类型"
"Item model is not specified to delete Google Base entry","没有选择商品型号删除Google Base登录"
"Item type was successfully saved","商品类型成功保存"
"Items","商品"
"Manage Attribute Mapping","映射（Mapping）属性管理"
"Manage Attributes","属性管理"
"Manage Items","商品管理"
"New Item Type","新商品类型"
"No","否"
"No items were deleted from Google Base","商品从Google Base里被删除。"
"No items were published","无商品被发布。"
"No items were saved as Inactive items","无商品保存为禁用商品"
"No products were added to Google Base","无商品添加至Google Base"
"Object model is not specified to save Google Base entry","没有选择商品型号删除Google Base登录"
"Page views","页面浏览"
"Please, select Attribute Set and Google Item Type to load attributes","请选择属性分组和Google商品类型以加载属性。"
"Product Name","商品名"
"Publish","发布"
"Published","已发布"
"Remove","删除"
"Save Mapping","储存映射（Mapping）"
"Synchronize","同步"
"Target Country","目标国家"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","此操作将更新商品统计并删除不在Google Base内的商品。要继续吗？"
"Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated","共%d件商品成功删除，共%d件商品成功更新"
"Total of %d items(s) were successfully published","共%d件商品成功发布"
"Total of %d items(s) were successfully removed from Google Base","共%d件商品成功从Google Base中删除"
"Total of %d items(s) were successfully saved as Inactive items","共%d 件商品成功保存为禁用商品"
"Total of %d product(s) were successfully added to Google Base","共 %d 件商品成功加入Google Base"
"US Dollar","美元"
"Unable to connect to Google Base. Please, check Account settings in configuration.","无法连接至Google Base。请检查帐户设置。"
"United Kingdom","英国"
"United States","美国"
"Update Google Base item when product is updated","当商品更新时更新Google Base商品"
"View Available Products","查看有效商品"
"View Item in Google Base","查看Google Base的商品"
"Yes","是"
