"API Login ID","API Giriş Kodu"
"Authorize Only","Kimlik Doğrulaması Gerektirir"
"Authorize and Capture","Kimlik Onaylaması yap ve Veri Al"
"Authorize.net","Authorize.net"
"Credit Card Types","Kredi Kartı Tipleri"
"Credit Card Verification","Kredi Kartı Onayı"
"Debug","Hata Ayıklama"
"Email customer","Müşteriyi bilgilendir"
"Enabled","Aktif"
"Error in authorizing the payment","Ödeme esnasında kimlik doğrulama hatası oluştu"
"Error in capturing the payment","Ödeme alınırken hata oluştu"
"Error in payment gateway","Tahsilat sisteminde hata oluştu"
"Error in refunding the payment","Ödeme iade edilirken hata oluştu"
"Error in refunding the payment.","Ödeme iade edilirken hata oluştu."
"Error in retrieving the transaction","Hareket bilgisi çekilirken hata oluştu"
"Fraud order status","Sahtekarlık durumu"
"Gateway request error: %s","Ödeme sistemi sağlayıcısı ile veri iletişimi esnasında hata oluştu : %s"
"Invalid amount for authorization","Ödeme işlemi için hatalı sipariş toplamı"
"Invalid amount for authorization.","Ödeme işlemi için hatalı sipariş toplamı."
"Invalid transaction id","Hatalı işlem numarası"
"Maximum Order Total","En Yüksek Sipariş Toplamı"
"Merchant Login","Kullanıcı Adı"
"Merchant's email","Kullanıcı email adresi"
"Minimum Order Total","En Düşük Sipariş Toplamı"
"New order status","Yeni sipariş durumu"
"Partner","Ortak"
"Password","Şifre"
"Payflow Pro","Payflow Pro"
"Payment Action","Ödeme İşlemi"
"Payment authorization error.","Ödeme onay hatası."
"Payment authorization transaction has been declined.","Ödeme kimlik onaylaması işlemi hatayla sona erdi."
"Payment from Specific countries","Seçili ülkelerden tahsilat"
"Payment from applicable countries","Bütün ülkelerden tahsilat"
"Proxy Host","Vekil Sunucu"
"Proxy Port","Vekil Sunucu Portu"
"Sort order","Sıralama"
"TENDER","TEKLİF"
"Test mode","Test Modu"
"Title","Başlık"
"Transaction key","İşlem Anahtarı"
"URL","URL"
"Use Proxy","Vekil Sunucu Kullan"
"User","Kullanıcı"
"VERBOSITY","AÇIKLIK"
"Voided transaction","İptal edilmiş işlem"
