"%d Review(s)","%d Review(s)"
"%s Review(s)","%s Відгук(ів)"
"(Posted on %s)","(Надіслано %s)"
"1 star","1 зірка"
"2 stars","2 зірки"
"3 stars","3 зірки"
"4 stars","4 зірки"
"5 stars","5 зірок"
"Add New Review","Додати новий відгук"
"Add Your Review","Додати Ваш відгук"
"Administrator","Адміністратор"
"All Reviews","Всі відгуки"
"All reviews of customer `%s`","All reviews of customer `%s`"
"Allow guests to write reviews","Allow guests to write reviews"
"Are you sure you want to do this?","Ви впевнені?"
"Are you sure?","Ви впевнені?"
"Average Customer Rating","Середня оцінка"
"Average Customer Rating:","Середня оцінка:"
"Back","Повернутись"
"Back to Main Product Info","Повернутись до інформації про продукт"
"Back to My Reviews","Повернутись до Моїх Відгуків"
"Back to Product Reviews","Повернутись до відгуків про продукт"
"Be the first to review this product","Залишіть відгук про цей товар першими"
"Created On","Створено"
"Customer","Клієнт"
"Customer Reviews","Відгуки клієнта"
"Delete","Видалити"
"Delete Review","Видалити відгук"
"Detailed Rating","Деталізований рейтинг"
"Edit Review '%s'","Редагувати відгук '%s'"
"Guest","Гість"
"How do you rate this product?","Як мені оцінити цей продукт?"
"ID","ID"
"Manage Ratings","Manage Ratings"
"My Product Reviews","Мої відгуки про товари"
"My Recent Reviews","Мої нещодавні відгуки"
"Name","Назва"
"Name In Store","Назва в групі магазинів"
"New Review","Новий відгук"
"Nickname","Ім'я"
"Pending Reviews","Відгуки в очікуванні"
"Pending reviews","Pending reviews"
"Pending reviews of customer `%s`","Pending reviews of customer `%s`"
"Please select a product","Будь-ласка, виберіть продукт"
"Please select one of each of the ratings above","Будь-ласка, виберіть одну з вищенаведених оцінок"
"Posted By","Надіслано"
"Price","Ціна"
"Product","Товар"
"Product Name","Назва товару"
"Product Rating","Оцінка товару"
"Product Rating:","Оцінка товару:"
"Product Review (submitted on %s):","Відгук про товар(надіслано %s):"
"Product Reviews","Відгуки про товар"
"Product SKU","Обліковий номер товару"
"Qty","Кількість"
"Rating:","Оцінка:"
"Review","Відгук"
"Review Details","Деталі відгуку"
"Review by %s","Відгук %s"
"Reviews and Ratings","Reviews and Ratings"
"SKU","Обліковий номер"
"Save Review","Зберегти відгук"
"Status","Статус"
"Submit Review","Надіслати відгук"
"Summary Rating","Підсумкова оцінка"
"Summary of Review","Заголовок"
"Summary of Your Review","Заголовок відгуку"
"Summary of review","Заголовок"
"Title","Заголовок"
"Type","Тип"
"Unable to post review. Please, try again later.","Неможливо надіслати відгук, спробуйте ще раз."
"Update status","Оновити статус"
"View All Reviews","Переглянути всі відгуки"
"View Details","Переглянути деталі"
"Visible In","Видимий у"
"Websites","Websites"
"Write Your Own Review","Напишіть власний відгук"
"You have submitted no reviews.","Ви не надіслали жодного повідомлення."
"You're reviewing: %s","Ви переглядате: %s"
"Your Rating:","Ваша оцінка:"
"Your Review (submitted on %s):","Ваш відгук (надіслано %s):"
"Your review has been accepted for moderation","Ваш відгук був прийнятий на модерацію"
"OR","OR"
"My Product Reviews","My Product Reviews"
