"* Required Fields","* Campos obrigatórios"
"Add","Adicionar"
"Add Gift Message","Adicionar mensagem de presente"
"Allow Gift Messages for Order Items","Permitir mensagens de presentes para itens de pedidos"
"Allow Gift Messages on Order Level","Permitir mensagens de presentes no nível de pedido"
"Are you sure?","Você tem certeza?"
"Cancel","Cancelar"
"Check this checkbox if you want to add gift messages to your items.","Selecione esta caixa de seleção se você deseja adicionar mensagens de presente aos seus itens."
"Check this checkbox if you want to add gift messages.","Selecione esta caixa de seleção se você deseja adicionar mensagens de presente."
"Close","Fechar"
"Do you have any gift items in your order?","Você tem algum item de presente no seu pedido?"
"Edit","Editar"
"Edit Gift Message","Editar mensagem de presente"
"Enter a gift message for each item in your order.","Insira uma mensagem de presente para cada item do seu pedido."
"Enter a gift message for entire order.","Insira uma mensagem de presente para toda a compra."
"Enter a gift message for this address.","Insira uma mensagem de presente para este endereço."
"Error while saving gift message","Erro ao salvar mensagem de presente"
"From","De"
"Gift Message","Mensagem de presente"
"Gift Messages","Mensagens do presente"
"Gift message has been successfully saved","Mensagem de presente foi salvo com sucesso"
"Item %d of %d","Item %d de %d"
"Message","Mensagem"
"No","Não"
"Remove","Remover"
"Save","Salvar"
"Save Gift Message","Salvar mensagem de presente"
"To","Para"
"Unknown entity type","Tipo de entidade desconhecido"
"Use config","Utilizar config"
"Yes","Sim"
"You can leave a box blank if you don't wish to add a gift message for the item.","Você pode deixar uma caixa em branco se você não deseja adicionar uma mensagem de presente para o item."
"You can leave a box blank if you don't wish to add a gift message for this address.","Você pode deixar uma caixa em branco se você não deseja adicionar uma mensagem de presente para este endereço."
"You can leave a box blank if you don't wish to add a gift message for whole order.","Você pode deixar uma caixa em branco se você não deseja adicionar uma mensagem de presente para toda a compra."
"Your gift message has been successfully removed","Sua mensagem de presente foi excluída com sucesso"
"Your gift message has been successfully saved","Sua mensagem de presente foi salva com sucesso"
"Your gift message successfully removed","Sua mensagem de presente foi excluída com sucesso"
"Your gift message successfully saved","Sua mensagem de presente foi salva com sucesso"
