"Billing Information","Fatura Bilgisi"
"Change Payment Method","Ödeme Yöntemini Değiştir"
"Change Shipping Address","Teslimat Adresini Değiştir"
"Edit Shopping Cart","Sepeti Düzenle"
"Email","Email"
"Incl. Tax","Vergi Dahil"
"Items in Your Shopping Cart","Sepetinizdeki Ürünler"
"No shipping method required.","Teslimat gerektirmeyen ürün."
"PayPal Account","PayPal Hesabı"
"PayPal Email","PayPal E-mail Adresi"
"Payment Method","Ödeme Yöntemi"
"Place an Order","Sipariş Ekle"
"Please select a shipping method...","Lütfen bir teslimat tipi seçiniz..."
"Price","Ücret"
"Product Name","Ürün Adı"
"Qty","Adet"
"Review Order","Siparişi Gözden Geçir"
"Shipping Address","Teslimat Adresi"
"Shipping Information","Teslimat Bilgisi"
"Shipping Method","Teslimat Yöntemi"
"Sorry, no quotes are available for this order at this time.","Üzgünüz, no quotes are available for this order at this time."
"Submitting order information...","Sipariş bilgisi gönderiliyor..."
"Subtotal","Ara Toplam"
"Update Shipping Method","Teslimat Yöntemini Değiştir"
"You will be redirected to PayPal website when you place an order.","Tahsilat için PayPal sitesine yönlendirileceksiniz."
"You will be redirected to Paypal in a few seconds.","Birkaç saniye içinde Paypal sistemine yönlendirileceksiniz."
"Your billing address will be ignored and you will be redirected to PayPal website","Ödeme adresiniz gözardı edilerek PayPal sitesine yönlendirileceksiniz"
