"* Required Fields","* ฟิลด์ที่จำเป็น"
"Add","เพิ่ม"
"Add Gift Message","เพิ่ม Gift Message"
"Allow Gift Messages for Order Items","อนุญาตให้มี Gift Message สำหรับรายการสินค้าในคำสั่งซื้อ"
"Allow Gift Messages on Order Level","อนุญาตให้มี Gift Message สำหรับระดับคำสั่งซื้อ"
"Are you sure?","คุณแน่ใจ?"
"Cancel","ยกเลิก"
"Check this checkbox if you want to add gift messages to your items.","กรุณาเลือกช่องนี้หากคุณต้องการเพิ่ม Gift Message ไปยังรายการสินค้าของคุณ"
"Check this checkbox if you want to add gift messages.","กรุณาเลือกช่องนี้หากคุณต้องการเพิ่ม Gift Message"
"Close","ปิด"
"Do you have any gift items in your order?","คุณมีรายการสินค้าที่เป็นของขวัญในคำสั่งซื้อของคุณหรือไม่?"
"Edit","แก้ไข"
"Edit Gift Message","แก้ไข Gift Message"
"Enter a gift message for each item in your order.","กรุณาใส่ Gift Message สำหรับแต่ละรายการสินค้าในคำสั่งซื้อของคุณ"
"Enter a gift message for entire order.","ใส่ Gift Message สำหรับคำสั่งซื้อทั้งหมด"
"Enter a gift message for this address.","ใส่ Gift Message สำหรับที่อยู่นี้"
"Error while saving gift message","พบข้อผิดพลาดขณะบันทึก Gift Message"
"From","จาก"
"Gift Message","Gift Message"
"Gift Messages","Gift Message"
"Gift message has been successfully saved","บันทึก Gift Message แล้ว"
"Item %d of %d","รายการ %d ของ %d"
"Message","ข้อความ"
"No","ไม่ใช่"
"Remove","ลบออก"
"Save","บันทึก"
"Save Gift Message","บันทึก Gift Message"
"To","ถึง"
"Unknown entity type","ประเภท Entity ที่ไม่รู้จัก"
"Use config","ใช้การตั้งค่า"
"Yes","ใช่"
"You can leave a box blank if you don't wish to add a gift message for the item.","คุณสามารถเอาบล็อคที่ว่างออก ถ้าคุณไม่ต้องการเพิ่ม gift message สำหรับ รายการ."
"You can leave a box blank if you don't wish to add a gift message for this address.","คุณสามารถเอาบล็อคที่ว่างออก ถ้าคุณไม่ต้องการเพิ่ม gift message สำหรับที่อยู่นี้."
"You can leave a box blank if you don't wish to add a gift message for whole order.","คุณสามารถเอาบล็อคที่ว่างออก ถ้าคุณไม่ต้องการเพิ่ม gift message รายการทั้งหมด."
"Your gift message has been successfully removed","ลบ Gift Message ของคุณออกไปแล้ว"
"Your gift message has been successfully saved","บันทึก Gift Message ของคุณแล้ว"
"Your gift message successfully removed","ลบ Gift Message ของคุณออกไปแล้ว"
"Your gift message successfully saved","บันทึก Gift Message ของคุณแล้ว"
