"Attempt to add an invalid object","正しくないオブジェクトの追加を試みる"
"Attribute '%s' used in configurable products.","属性 '%s' は設定可能な商品で使用されています。"
"Attribute set with the ""%s"" name already exists","入力された属性名 ""%s"" は既に存在します。"
"Attribute used in configurable products.","属性は設定可能な商品で使用されています"
"Attribute with the same code","同じコードの属性"
"Data integrity: No header row found for attribute","データ整合性: 属性用のヘッダなしの行が見つかりました"
"Default Product Listing Sort by not exists on Available Product Listing Sort by","Default Product Listing Sort by not exists on Available Product Listing Sort by"
"Default option value is not defined","ディフォルトのオプション値は定義されていません"
"EAV types and attributes","ＥＡＶタイプと属性"
"Entity collection expected","予測された要素集合"
"Entity collections expected","予測された要素集合"
"Entity is not initialized","要素は初期化されていません"
"Failed to load node %s from config.","コンフィグからノード %s の読み込みに失敗しました。"
"Frontend label is not defined","フロントエンドラベルは定義されていません"
"Invalid alias, already exists in joined attributes","不正な別名です。接続された属性に既に存在します。"
"Invalid attribute name: %s","不正な属性名: %s"
"Invalid attribute requested: %s","不正な属性の要求: %s"
"Invalid attribute type","不正な属性タイプ"
"Invalid character encountered in increment ID: %s","インクリメントIDに不正な文字が含まれています: %s"
"Invalid data object key","不正なデータオブジェクトキー"
"Invalid entity specified","特定の不正な属性"
"Invalid entity supplied","不正なエンティティが与えられました"
"Invalid entity supplied: %s","不正なエンティティが与えられました: %s"
"Invalid entity type","不正な要素タイプ"
"Invalid entity_id, skipping the record","不正な要素ID、レコードをスキップします"
"Invalid entity_type specified: %s","不正なエントリタイプです: %s"
"Invalid foreign key","不正な外部キー"
"Invalid joined fields","不正な結合フィールド"
"Invalid store specified","不正なストアが指定されました"
"Joined field or attribute expression with this alias is already declared","結合フィールドか、別名をつけた式はすでに定義されています"
"Joined field with this alias (%s) is already declared","別名(%s)をつけた結合フィールドは既に宣言されています"
"Joined field with this alias is already declared","別名をつけた結合フィールドはすでに定義されています"
"Loaded %d records","%dレコードを読み込みました。"
"No","いいえ"
"No options found in config node %s","コンフィグノード %sにオプションが見つかりません"
"Problem loading a record, aborting. Error: %s","レコード読み込み中に問題が発生したため中止しました。エラー: %s"
"Problem loading the collection, aborting. Error: %s","コレクション読み込み中に問題が発生したため中止しました。エラー: %s"
"Problem saving a record, aborting. Error: ","レコード保存中に問題が発生したため中止しました。エラー:"
"Problem saving the collection, aborting. Error: %s","コレクションを保存中に問題が発生したため中止しています。エラー: %s"
"Saved ","保存されました"
"Scope must not be changed, because the attribute is used in configurable products.","設定可能な商品で属性が使用されているため、スコープは変更できません"
"The attribute code '%s' is reserved by system. Please, try another attribute code.","The attribute code '%s' is reserved by system. Please, try another attribute code."
"Unknown parameter","未知のパラメータ"
"Valid store_id is expected!","正しいstore_idが期待されています"
"Value of attribute ""%s"" must be unique","属性値""%s""は一意である必要があります"
"Wrong attribute ID","間違った属性ID"
"Wrong attribute group ID","間違った属性グループID"
"Wrong attribute set ID","間違った属性セットID"
"Wrong entity ID","間違った要素ID"
"Yes","はい"
