"Account login","Fiók belépés"
"Account password","Fiók jelszó"
"Active","Aktív"
"Add Attribute Mapping","Jellemző társítás hozzáadása"
"Add New Attribute","Új jellemző hozzáadása"
"Add to Google Base","Hozzáadás a Google Base-hez"
"Are you sure?","Biztos benne?"
"Attribute","Jellemző"
"Attribute Set","Jellemző halmaz"
"Attribute Set and Item Type","Jellemző halmaz és termék típus"
"Attributes","Jellemzők"
"Attributes Set","Jellemző halmaz"
"Attributes mapping","Jellemzők párosítása"
"AuthSub","AuthSub"
"Available Products","Elérhető termékek"
"British Pound Sterling","British Pound Sterling"
"Cannot update Google Base Item for Store '%s'","Cannot update Google Base Item for Store '%s'"
"Captcha confirmation error: %s","Captcha kód ellenőrzés hiba: %s"
"Captcha confirmed successfully","Captcha sikeresen elfogadva"
"Clicks","Kattintások"
"ClientLogin","Ügyfél login"
"Confirm","Megerősít"
"Current Mapping will be reloaded. Continue?","A jelenlegi párosítás újratöltődik. Folytassuk?"
"Custom attribute, no mapping","Speciális jellemző, nincs párosítás"
"Default Store (%s)","Alapértelmezett bolt (%s)"
"Delete","Töröl"
"Delete Mapping","Társítás törlése"
"Edit Item Type","Termék típus szerkesztése"
"Edit Item Type ""%s""","Termék típus szerkesztése ""%s"""
"Error: %s","Hiba: %s"
"Euro","Euro"
"Expires","Lejár"
"Germany","Németország"
"Google Base","Google Base"
"Google Base Attribute","Google Base jellemző"
"Google Base ID","Google Base ID"
"Google Base Item Type","Google Base termék típus"
"Google Base Item type","Google Base termék típus"
"Google Base Items","Google Base termékek"
"Hide","Elrejt"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Érvénytelen termék minta a Google Base elem számára"
"Item Type was deleted","Termék típus törölve"
"Item Types","Termék típusok"
"Item model is not specified to delete Google Base entry","Termék model nincs meghatározva a Google Base bejegyzés törléséhez"
"Item type was successfully saved","Termék tíous sikeresen mentve"
"Items","Elemek"
"Manage Attribute Mapping","Jellemző társítás kezelése"
"Manage Attributes","Jellemzők kezelése"
"Manage Items","Termékek kezelése"
"New Item Type","Új termék típus"
"No","Nem"
"No items were deleted from Google Base","Nem lettek termékek törölve a Google Base-ből"
"No items were published","Nem jelent meg termék"
"No items were saved as Inactive items","Nem lett elmentve inaktív termék"
"No products were added to Google Base","Nem lett termék hozzáadva a Google Base-hez"
"Object model is not specified to save Google Base entry","Objektum model nem lett meghatározva a Google Base bejegyzés mentéséhez"
"Page views","Oldal letöltések"
"Please, select Attribute Set and Google Item Type to load attributes","Kérem válasszon egy jellemző halmazt és Google termék típust a jellemzők betöltéséhez"
"Product Name","Termék neve"
"Publish","Közzétesz"
"Published","Közzétéve"
"Remove","Eltávolít"
"Save Mapping","Társítás mentése"
"Synchronize","Szinkronizálás"
"Target Country","Célország"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Ez a művelet frissíti a termék statisztikákat és eltávolítja a termékeket amik nem elérhetőek a Google Base-ben. Folytassam?"
"Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated","Összen %d bejegyzés törölve és %d bejegyzés frissítve"
"Total of %d items(s) were successfully published","Összesen %d termék sikeresen közzétéve"
"Total of %d items(s) were successfully removed from Google Base","Összesen %d termék eltávolítva a Google Base-ről"
"Total of %d items(s) were successfully saved as Inactive items","Összesen %d inaktív termék"
"Total of %d product(s) were successfully added to Google Base","Összesen %d termék hozzáadva a Google Base rendszerhez"
"US Dollar","US Dollar"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Csatlakozás a Google Base rendszeréhez sikertelen. Kérem ellenőrizze a hozzáférés beállításait."
"United Kingdom","Anglia"
"United States","Egyesült államok"
"Update Google Base item when product is updated","Google Base termék frissítése ha a termék frissítve lesz"
"View Available Products","Elérhető termékek megtekintése"
"View Item in Google Base","Termék a Google Base rendszerében"
"Yes","Igen"
