"Add Recipient","Bæta við móttakanda"
"Allow for Guests","Leyfa gestum"
"Email Address","Netfang"
"Email Address:","Netfang:"
"Email templates","Sniðmát tölvupósta"
"Email to a Friend","Senda á vin"
"Email:","Netfang:"
"Enabled","Virkjað"
"Limit Sending By","Limit Sending By"
"Link to a friend was sent.","Link to a friend was sent."
"Max Products Sent in 1 Hour","Max Products Sent in 1 Hour"
"Max Recipients","Max Recipients"
"Maximum %d email addresses allowed.","Maximum %d email addresses allowed."
"Message:","Skilaboð:"
"Name","Nafn"
"Name:","Nafn:"
"Recipient:","Móttakandi:"
"Remove Email","Fjarlægja netfang"
"Select email template","Veldu sniðmát tölvupóstsins"
"Send email","Senda"
"Send product to a friend","Senda vöru á vin"
"Sender:","Sendandi:"
"Some emails was not sent","Ekki tókst að senda á sum netföng"
"Some problems with data.","Einhver vandræði með gögn."
"You cannot email this product to a friend","Þú getur ekki sent þessa vöru á vin"
"You cannot send more than %d times in an hour","Þú getur bara sent %d sinnum á klukkutíma"
