"Action","Tehtävä"
"All types","Kaikki tyypit"
"Backup file ""%s"" can't read or write","Backup file ""%s"" can't read or write"
"Backup file ""%s"" doesn't exist","Backup file ""%s"" doesn't exist"
"Backup file doesn't exist","Varmuuskopiontitiedostoa ei löydy"
"Backup file handler don't specify","Backup file handler don't specify"
"Backup file path don't specify","Backup file path don't specify"
"Backups","Varmuuskopiot"
"Cannot read backup file","Varmuuskopiotiedostoa ei pystytä lukemaan"
"Create Backup","Luo Varmuuskopio"
"DB","Tietokanta"
"Database was successfuly backed up.","Tietokannasta luotiin varmuuskopio."
"Download","Lataa"
"Error write to Backup file ""%s""","VIrhe kirjoitettaessa varmuuskopiota tiedostoon ""%s"""
"File compressed with Zlib, but this extension is not installed on server","Tiedosto pakattu käyttämällä Zlib:ä, mutta tätä lisäsovelmaa ei ole asennettu palvelimelle"
"Size, byte","Koko, tavua"
"Time","Aika"
"Type","Tyyppi"
"Unable to create backup. Please, try again later.","Varmuuskopiota ei voida luoda. Yritä myöhemmin uudelleen."
"Wrong order of creation for new backup","Uuden varmuuskopion luomisessa väärä järjestys"
