"Actions","Acciones"
"Add Answer","Agregar una respuesta"
"Add New Answer","Agregar una nueva respuesta"
"Add New Poll","Agregar una nueva encuesta"
"Answer Title","Título de la respuesta"
"Answer Title:","Título de la respuesta:"
"Answer was successfully saved","La respuesta fue guardada con éxito"
"Answer with the same title in this poll","Respuesta con el mismo título en esta encuesta"
"Are you sure you want to delete it?","Est&aacute; seguro de borrarlo?"
"Assigned Answers","Respuestas asignadas"
"Closed","Cerrada"
"Community Poll","Encuesta de la comunidad"
"Date Closed","Fecha de cierre"
"Date Posted","Fecha de la publicación"
"Delete","Borrar"
"Delete Answer","Borrar la respuesta"
"Delete Poll","Borrar la encuesta"
"Disallow voting in a poll multiple times from same IP-address","Disallow voting in a poll multiple times from same IP-address"
"Edit Answer '%s'","Editar respuesta '%s'"
"Edit Poll '%s'","Editar encuesta '%s'"
"Edit Poll Answer","Editar las respuestas de la encuesta"
"ID","ID"
"Invalid Answer","Respuesta inválida"
"New Poll","Nueva encuesta"
"Number of Responses","Número de respuestas"
"Open","Abierta"
"Poll Answers","Respuestas de la encuesta"
"Poll Information","Información de la encuesta"
"Poll Manager","Gestor de encuestas"
"Poll Question","Pregunta de la encuesta"
"Poll information","Información de la encuesta"
"Poll not exists","La encuesta no existe"
"Poll with the same question","Encuesta con la misma pregunta"
"Save Answer","Guardar la respuesta"
"Save Poll","Guardar la encuesta"
"Status","Estado"
"Unable to find answer to delete.","Imposible encontrar una respuesta para borrar."
"Visible In","Visible en"
"Vote","Votar"
"Votes Count","Contador de votos"
"Votes Count:","Contador de votos:"
