"Action","Handling"
"All types","Alle typer"
"Backup file ""%s"" can't read or write","Kan ikke læse eller skrive til backupfilen ""%s"""
"Backup file ""%s"" doesn't exist","Backupfilen ""%s"" eksisterer ikke"
"Backup file doesn't exist","Backupfilen eksisterer ikke"
"Backup file handler don't specify","Backup file handler don't specify"
"Backup file path don't specify","Backup file path don't specify"
"Backups","Sikkerhedskopier"
"Cannot read backup file","Kunne ikke indlæse sikkerhedskopi"
"Create Backup","Lav sikkerhedskopi"
"DB","Database"
"Database was successfuly backed up.","Database blev sikkerhedskopieret."
"Download","Download"
"Error write to Backup file ""%s""","Error write to Backup file ""%s"""
"File compressed with Zlib, but this extension is not installed on server","Sikkerhedskopi er komprimeret med Zlib. For at indlæse skal Zlib installeres på serveren"
"Size, byte","Størrelse, byte"
"Time","Dato og tidspunkt"
"Type","Type"
"Unable to create backup. Please, try again later.","Kan ikke lave backup. Prøv igen senere."
"Wrong order of creation for new backup","Fejl i ny sikkerhedskopi (forkert rækkefølge)"
