"Account login","Account login"
"Account password","Account password"
"Active","Активно"
"Add Attribute Mapping","Добави свързване на атрибут"
"Add New Attribute","Добави нов атрибут"
"Add to Google Base","Добави към Гугъл Base"
"Are you sure?","Сигурен ли сте?"
"Attribute","Атрибут"
"Attribute Set","Атрибут група"
"Attribute Set and Item Type","Атрибут група и тип на продукт"
"Attributes","Атрибути"
"Attributes Set","Атрибут групи"
"Attributes mapping","Attributes mapping"
"AuthSub","AuthSub"
"Available Products","Налични продукти"
"British Pound Sterling","Британска лира"
"Cannot update Google Base Item for Store '%s'","Не е възможно обновяване на артикул на Гугъл Base за магазин '%s'"
"Captcha confirmation error: %s","Грешка при потвърждаване на изображение за сигурност: %s"
"Captcha confirmed successfully","Captcha confirmed successfully"
"Clicks","Кликове"
"ClientLogin","ClientLogin"
"Confirm","Потвърди"
"Current Mapping will be reloaded. Continue?","Текущото свързване ще бъде презаредено. Продължи?"
"Custom attribute, no mapping","Собствен атрибут, без свързване"
"Default Store (%s)","Default Store (%s)"
"Delete","Изтрий"
"Delete Mapping","Изтрий свързване"
"Edit Item Type","Редактирай тип"
"Edit Item Type ""%s""","Редакция на тип ""%s"""
"Error: %s","Грешка: %s"
"Euro","Евро"
"Expires","Изтича"
"Germany","Германия"
"Google Base","Гугъл Base"
"Google Base Attribute","Гугъл Base атрибут"
"Google Base ID","Гугъл Base ID"
"Google Base Item Type","Гугъл Base тип артикул"
"Google Base Item type","Гугъл Base тип артикул"
"Google Base Items","Гугъл Base артикули"
"Hide","Скрий"
"Impr.","Импр."
"Invalid Product Model for Google Base Item","Невалиден продукт модел за Гугъл Base артикул"
"Item Type was deleted","Типът е изтрит"
"Item Types","Типове артикули"
"Item model is not specified to delete Google Base entry","Item model is not specified to delete Google Base entry"
"Item type was successfully saved","Item type was successfully saved"
"Items","Артикули"
"Manage Attribute Mapping","Управление на свързване на атрибути"
"Manage Attributes","Управление на атрибути"
"Manage Items","Управление на артикули"
"New Item Type","Нов тип артикул"
"No","Не"
"No items were deleted from Google Base","Не бяха изтрити артикули от Гугъл Base"
"No items were published","Не бяха публикувани артикули"
"No items were saved as Inactive items","No items were saved as Inactive items"
"No products were added to Google Base","Не бяха добавени продукти на Гугъл Base"
"Object model is not specified to save Google Base entry","Object model is not specified to save Google Base entry"
"Page views","Преглеждания на страница"
"Please, select Attribute Set and Google Item Type to load attributes","Моля, изберете атрибут група и Гугъл тип артикул за зареждане на атрибути"
"Product Name","Име на продукт"
"Publish","Публикувай"
"Published","Публикувано"
"Remove","Премахни"
"Save Mapping","Запиши свързване"
"Synchronize","Синхронизирай"
"Target Country","Целева държава"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Това действие ще обнови статистики за артикули и ще премахне артикули, които не са налични в Гугъл Base. Продължи?"
"Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated","Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated"
"Total of %d items(s) were successfully published","Total of %d items(s) were successfully published"
"Total of %d items(s) were successfully removed from Google Base","Total of %d items(s) were successfully removed from Google Base"
"Total of %d items(s) were successfully saved as Inactive items","Total of %d items(s) were successfully saved as Inactive items"
"Total of %d product(s) were successfully added to Google Base","Total of %d product(s) were successfully added to Google Base"
"US Dollar","US Долар"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Невъзможна е комуникацията с Гугъл Base. Моля, проверете настройки на профила в конфигурация."
"United Kingdom","Великобритания"
"United States","САЩ"
"Update Google Base item when product is updated","Update Google Base item when product is updated"
"View Available Products","Прегледай налични продукти"
"View Item in Google Base","Прегледай артикул в Гугъл Base"
"Yes","Да"
