"Action","İşlem"
"All types","Tüm tipler"
"Backup file ""%s"" can't read or write","""%s"" adlı yedek dosyası okunamıyor ve yazılamıyor"
"Backup file ""%s"" doesn't exist","""%s"" adlı yedek dosyası yok"
"Backup file doesn't exist","Yedek dosyası bulunamadı"
"Backup file handler don't specify","Yedek dosyası tutamacı belirtilmedi"
"Backup file path don't specify","Yedek dosyası yolu belirtilmedi"
"Backups","Yedekler"
"Cannot read backup file","Yedek dosyası okunamadı"
"Create Backup","Yedek Oluştur"
"DB","Veritabanı"
"Database was successfuly backed up.","Veritabanı yedeklendi."
"Download","İndir"
"Error write to Backup file ""%s"""," ""%s"" adlı yedek dosyasına yazılamıyor"
"File compressed with Zlib, but this extension is not installed on server","Dosya Zlib kullanılarak sıkıştırılmış, ancak bu eklenti sunucuda kurulu değil"
"Size, byte","Boyut, bayt"
"Time","Saat"
"Type","Tip"
"Unable to create backup. Please, try again later.","Yedek oluşturulamadı. Lütfen daha sonra tekrar deneyiniz."
"Wrong order of creation for new backup","Yeni yedek oluşturmak için yanlış sıralama"
