"Action","Událost"
"All types","Všechny typy"
"Backup file ""%s"" can't read or write","Soubor se zálohou ""%s"" nelze číst nebo zapsat"
"Backup file ""%s"" doesn't exist","Soubor se zálohou ""%s"" neexistuje"
"Backup file doesn't exist","Soubor se zálohou neexistuje"
"Backup file handler don't specify","Ovladač záloh není specifikován"
"Backup file path don't specify","Cesta k záloze není specifikována"
"Backups","Zálohy"
"Cannot read backup file","Soubor se zálohou nelze přečíst"
"Create Backup","Vytvořit zálohu"
"DB","DB"
"Database was successfuly backed up.","Databáze byla úspěšně zálohována."
"Download","Stáhnout"
"Error write to Backup file ""%s""","Chyba při zápisu záložního souboru ""%s"""
"File compressed with Zlib, but this extension is not installed on server","Soubor je komprimován Zlib, ale toto rozšíření není na serveru nainstalováno"
"Size, byte","Velikost, byte"
"Time","Čas"
"Type","Typ"
"Unable to create backup. Please, try again later.","Nelze vytvořit zálohu. Prosím zkuste to později."
"Wrong order of creation for new backup","Špatné řazení pro vytvoření nové zálohy"
