"%d Review(s)","%d განხილვა"
"%s Review(s)","%s განხილვა"
"(Posted on %s)","(Posted on %s)"
"1 star","1 star"
"2 stars","2 stars"
"3 stars","3 stars"
"4 stars","4 stars"
"5 stars","5 stars"
"Add New Review","Add New Review"
"Add Your Review","დაამატეთ თქვენი განხილვა"
"Administrator","Administrator"
"All Reviews","All Reviews"
"All reviews of customer `%s`","All reviews of customer `%s`"
"Allow guests to write reviews","Allow guests to write reviews"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Are you sure?","Are you sure?"
"Average Customer Rating","Average Customer Rating"
"Average Customer Rating:","Average Customer Rating:"
"Back","Back"
"Back to Main Product Info","Back to Main Product Info"
"Back to My Reviews","ჩემს განხილვებზე დაბრუნება"
"Back to Product Reviews","პროდუქციის განხილვებზე დაბრუნება"
"Be the first to review this product","პირველმა განიხილე ეს პროდუქტი"
"Created On","Created On"
"Customer","Customer"
"Customer Reviews","Customer Reviews"
"Delete","Delete"
"Delete Review","Delete Review"
"Detailed Rating","Detailed Rating"
"Edit Review '%s'","Edit Review '%s'"
"Guest","Guest"
"How do you rate this product?","How do you rate this product?"
"ID","ID"
"Manage Ratings","Manage Ratings"
"My Product Reviews","ჩემი განხილვები"
"My Recent Reviews","ჩემი ბოლო განხილვები"
"Name","დასახელება"
"Name In Store","Name In Store"
"New Review","New Review"
"Nickname","Nickname"
"Pending Reviews","Pending Reviews"
"Pending reviews","Pending reviews"
"Pending reviews of customer `%s`","Pending reviews of customer `%s`"
"Please select a product","გთხოვთ აირჩიოთ პროდუქტი"
"Please select one of each of the ratings above","გთხოვთ აირჩიოთ ერთ-ერთი შეფასება"
"Posted By","Posted By"
"Price","ფასი"
"Product","Product"
"Product Name","პროდუქტის დასახელება"
"Product Rating","Product Rating"
"Product Rating:","Product Rating:"
"Product Review (submitted on %s):","Product Review (submitted on %s):"
"Product Reviews","Product Reviews"
"Product SKU","Product SKU"
"Qty","რაოდენობა"
"Rating:","Rating:"
"Review","Review"
"Review Details","განხილვის დეტალები"
"Review by %s","Review by %s"
"Reviews and Ratings","Reviews and Ratings"
"SKU","SKU კოდი"
"Save Review","განხილვის შენახვა"
"Status","სტატუსი"
"Submit Review","Submit Review"
"Summary Rating","Summary Rating"
"Summary of Review","Summary of Review"
"Summary of Your Review","Summary of Your Review"
"Summary of review","Summary of review"
"Title","Title"
"Type","Type"
"Unable to post review. Please, try again later.","Unable to post review. Please, try again later."
"Update status","Update status"
"View All Reviews","ყველა განხილვის ნახვა"
"View Details","დეტალების ნახვა"
"Visible In","Visible In"
"Websites","Websites"
"Write Your Own Review","Write Your Own Review"
"You have submitted no reviews.","განხილვები არ გაქვთ."
"You're reviewing: %s","You're reviewing: %s"
"Your Rating:","Your Rating:"
"Your Review (submitted on %s):","Your Review (submitted on %s):"
"Your review has been accepted for moderation","Your review has been accepted for moderation"
"OR","ან"
"My Product Reviews","ჩემი განხილვები"
