"* Required Fields","* Vaaditut tiedot"
"Add","Lisää"
"Add Gift Message","Lisää lahjaviesti"
"Allow Gift Messages for Order Items","Salli lahjaviestit tilauksen yksittäisille tuotteille"
"Allow Gift Messages on Order Level","Salli lahjaviestit tilaustasolla"
"Are you sure?","Oletko varma?"
"Cancel","Peruuta"
"Check this checkbox if you want to add gift messages to your items.","Valitse tämä kohta jos haluat lisätä ostoksiisi lahjaviestejä."
"Check this checkbox if you want to add gift messages.","Valitse tämä kohta jos haluat lisätä lahjaviestejä."
"Close","Sulje"
"Do you have any gift items in your order?","Onko tilauksessasi lahjatuotteita?"
"Edit","Muokkaa"
"Edit Gift Message","Muokkaa lahjaviestiä"
"Enter a gift message for each item in your order.","Kirjoita lahjaviesti jokaiselle tilaamallesi tuotteelle."
"Enter a gift message for entire order.","Kirjoita lahjaviesti koko tilaukselle."
"Enter a gift message for this address.","Kirjoita lahjaviesti tälle osoitteelle."
"Error while saving gift message","Virhe tallennettaessa lahjaviestiä."
"From","Lähettäjä"
"Gift Message","Lahjaviesti"
"Gift Messages","Lahjaviestit"
"Gift message has been successfully saved","Lahjaviestin tallennus onnistui"
"Item %d of %d","Tuote %d / %d"
"Message","Viesti"
"No","Ei"
"Remove","Poista"
"Save","Tallenna"
"Save Gift Message","Tallenna lahjaviesti"
"To","Vastaanottaja"
"Unknown entity type","Tuntematon kokonaisuuden tyyppi"
"Use config","Käytä asetuksia"
"Yes","Kyllä"
"You can leave a box blank if you don't wish to add a gift message for the item.","Voit jättää kohdan tyhjäksi jos et halua lisätä ostoksellesi lahjaviestiä."
"You can leave a box blank if you don't wish to add a gift message for this address.","Voit jättää kohdan tyhjäksi jos et halua lisätä lahjaviestiä tälle osoitteelle."
"You can leave a box blank if you don't wish to add a gift message for whole order.","Voit jättää kohdan tyhjäksi jos et halua lisätä lahjaviestiä tilaukseesi ollenkaan."
"Your gift message has been successfully removed","Lahjaviestisi poisto onnistui"
"Your gift message has been successfully saved","Lahjaviestisi tallennus onnistui"
"Your gift message successfully removed","Lahjaviestisi poisto onnistui"
"Your gift message successfully saved","Lahjaviestisi tallenneus onnistui"
