"Actions","Действия"
"Active","Активно"
"Add New Rule","Добави ново Правило"
"Apply Rules","Прилагане на Правилата"
"Attribute Set","Атрибут група"
"Catalog","Каталог"
"Catalog Price Rule","Правило за Каталожна цена"
"Catalog Price Rules","Правила за Каталожна цена"
"Category","Категория"
"Comments History","История на коментарите"
"Conditions","Условия"
"Conditions (leave blank for all products)","Условия (празно за прилагане към всички продукти)"
"Conditions Combination","Комбинирани условия"
"Credit Memos","Бележки за кредит"
"Customer Groups","Клиентски Групи"
"Customer is new buyer: %s","Клиента е нов купувач: %s"
"Customer registered: %s","Клиента е регистриран: %s"
"Date Expire","Дата на изтичане"
"Date From","Дата от"
"Date Start","Начална дата"
"Date To","Дата до"
"Delete Rule","Изтрий правило"
"Description","Описание"
"Description: %s","Описание: %s"
"Edit Rule","Редактирай Правило"
"Edit Rule '%s'","Редакция на Правило '%s'"
"Expire at: %s","Изтича на: %s"
"From Date","От дата"
"General Information","Основна информация"
"Gift Messages","Gift Messages"
"ID","ID"
"Inactive","Неактивно"
"Invoices","фактури"
"NOT LOGGED IN","НЕИДЕНТИФИЦИРАН"
"Name: %s","Име: %s"
"New Rule","Ново Правило"
"No","Не"
"Options","Опции"
"Order Credit Memos","Ред на бележките за кредит"
"Order Gift Messages","Ред на Gift Messages"
"Order History","Ред на историята"
"Order Invoices","Ред на фактурите"
"Order Shipments","Ред на изпращанията"
"Priority","Приоритет"
"Product Attribute","Продуктов атрибут"
"Promotions","Промоции"
"Rule Information","Информация за Правило"
"Rule Name","Име на Правило"
"Rule was successfully deleted","Правилото е изтрито успешно"
"Rule was successfully saved","Правилото е запазено успешно"
"Rules were successfully applied","Правилата са приложени успешно"
"Save Rule","Запиши Правило"
"Save and Apply","Запиши и приложи"
"Shipments","Изпращания"
"Start at: %s","Начало на: %s"
"Status","Статус"
"Stop further rules processing","Спри бъдещо обработване на правила"
"The page you are trying to save no longer exists","Страницата която се опитвате да запазите вече не съществува."
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog."
"This rule no longer exists","Това правило вече не съществува"
"To Date","До дата"
"Unable to apply rules","Невъзможно прилагане на правила"
"Unable to find a page to delete","Невъзможно намиране на страница за изтриване"
"Update product's %s %s: %s","Обновяване %s %s на продукта: %s"
"Websites","Уебстраници"
"Yes","Да"
