"1 star","1星"
"2 stars","2星"
"3 stars","3星"
"4 stars","4星"
"5 stars","5星"
"Add New Rating","增加新评级"
"Assigned Options","指定的选项"
"Be the first to review this product","抢先评论此商品"
"Default Value","默认值"
"Delete Rating","删除评级"
"Edit Rating","编辑评级"
"ID","编号"
"If you do not specify a rating title for a store, the default value will be used.","如果您没有给商店输入评级标题，默认名将被使用。"
"Manage Ratings","管理评级"
"New Rating","评级"
"Option Label","选项标记"
"Option Title","选项"
"Option Title:","选项名称："
"Please select one of each ratings above","请在上面选择一个评级"
"Rating Information","评级内容"
"Rating Name","评级名称"
"Rating Options","评级标题"
"Rating Title","评级标题"
"Rating Visibility","评级显示"
"Rating isn't Available","顾客未留评级"
"Rating with the same title","评级标题重复"
"Save Rating","储存评级"
"Visible In","显示于"
