"All Websites","Всички уебсайтове"
"Apply Percent Discounts To FPT","Apply Percent Discounts To FPT"
"Apply Tax To FPT","Приложи данък към ФПД"
"Display Prices In Emails","Покажи цени в имейли"
"Display Prices In Product Lists","Покажи цени в списък с продукти"
"Display Prices In Sales Modules","Покажи цени в модули за продажба"
"Display Prices On Product View Page","Покажи цени на страница за преглед на продукт"
"Enable FPT","Активирай ФПД"
"Excluding FPT","Без вкл. ФПД"
"Excluding FPT, FPT description, final price","Без включване на ФПД, ФПД описание, крайна цена"
"Fixed Product Tax","Фиксиран продуктов данък (ФПД)"
"Fixed Product Taxes","Фиксиран продуктов данъци"
"Include FPT In Subtotal","Включи ФПД в междинна сума"
"Including FPT and FPT description [excl. FPT VAT]","Including FPT and FPT description [excl. FPT VAT]"
"Including FPT and FPT description [incl. FPT VAT]","С включено ФПД и описание на ФПД [с вкл. ФПД ДДС]"
"Including FPT only","Само с включено FPT"
"Total","Общо"
"Total incl. tax","Общо вкл. данък"
