"1 star","1  ster"
"2 stars","2 sterren"
"3 stars","3 sterren"
"4 stars","4 sterren"
"5 stars","5 sterren"
"Add New Rating","Nieuw productkenmerk toevoegen"
"Assigned Options","Toegewezen opties"
"Be the first to review this product","Schrijf de eerste review van dit product"
"Default Value","Standaard-waarde"
"Delete Rating","Kenmerk verwijderen"
"Edit Rating","Productkenmerk bewerken"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Indien u geen kenmerk-titel opgeeft voor een winkel zal de standaard-waarde worden gebruikt"
"Manage Ratings","Beheer ratings"
"New Rating","Nieuw productkenmerk"
"Option Label","Optie-label"
"Option Title","Optietitel"
"Option Title:","Optietitel:"
"Please select one of each ratings above","Geef een score voor elk kenmerk hierboven a.u.b."
"Rating Information","Rating-gegevens"
"Rating Name","Kenmerknaam"
"Rating Options","Waarderingsopties"
"Rating Title","Titel kenmerk"
"Rating Visibility","Zichtbaarheid scores"
"Rating isn't Available","Waardering is niet beschikbaar"
"Rating with the same title","Kenmerk met dezelfde titel"
"Save Rating","Kenmerk opslaan"
"Visible In","Zichtbaar in"
