"%d Review(s)","%d Valoración(s)"
"%s Review(s)","%s Valoración(s)"
"(Posted on %s)","(Publicado en %s)"
"1 star","1 estrela"
"2 stars","2 estrelas"
"3 stars","3 estrelas"
"4 stars","4 estrelas"
"5 stars","5 estrelas"
"Add New Review","Engadir unha nova valoración"
"Add Your Review","Engada a súa valoración"
"Administrator","Administrador"
"All Reviews","Todas as valoracións"
"All reviews of customer `%s`","All reviews of customer `%s`"
"Allow guests to write reviews","Allow guests to write reviews"
"Are you sure you want to do this?","Está vostede seguro de que quere facer isto?"
"Are you sure?","Está vostede seguro?"
"Average Customer Rating","Media da clasificación do cliente"
"Average Customer Rating:","Media da clasificación do cliente:"
"Back","Volver"
"Back to Main Product Info","Volver á información principal do produto"
"Back to My Reviews","Volver ás miñas valoracións"
"Back to Product Reviews","Volver ás valoracións do produto"
"Be the first to review this product","Sexa o primeiro en avaliar este produto"
"Created On","Creado en"
"Customer","Cliente"
"Customer Reviews","Valoracións de cliente"
"Delete","Eliminar"
"Delete Review","Eliminar valoración"
"Detailed Rating","Clasificación detallada"
"Edit Review '%s'","Editar valoración '%s'"
"Guest","Convidado"
"How do you rate this product?","Como clasifica este produto?"
"ID","ID"
"Manage Ratings","Xestionar clasificacións"
"My Product Reviews","As miñas valoracións do produto"
"My Recent Reviews","As miñas valoracións recentes"
"Name","Nome"
"Name In Store","Nome na loja"
"New Review","Nova valoración"
"Nickname","Alias"
"Pending Reviews","Valoracións pendentes"
"Pending reviews","Pending reviews"
"Pending reviews of customer `%s`","Pending reviews of customer `%s`"
"Please select a product","Por favor, seleccione un produto"
"Please select one of each of the ratings above","Por favor, seleccione unha das clasificacións de arriba"
"Posted By","Publicado por"
"Price","Prezo"
"Product","Produto"
"Product Name","Nome do produto"
"Product Rating","Clasificación do produto"
"Product Rating:","Clasificación do produto:"
"Product Review (submitted on %s):","Valoración do produto (enviado en %s):"
"Product Reviews","Valoracións do produto"
"Product SKU","Sku do produto"
"Qty","Ctde"
"Rating:","Clasificación:"
"Review","Valoración"
"Review Details","Detalles da valoración"
"Review by %s","Análise por %s"
"Reviews and Ratings","Valoracións e clasificacións"
"SKU","SKU"
"Save Review","Gardar valoración"
"Status","Estado"
"Submit Review","Enviar valoración"
"Summary Rating","Resumo de clasificación"
"Summary of Review","Resumo de valoración"
"Summary of Your Review","Resumo da súa valoración"
"Summary of review","Sumário da análise"
"Title","Título"
"Type","Tipo"
"Unable to post review. Please, try again later.","Incapaz de adicionar a análise. Por favor tente novamente mais tarde."
"Update status","Actualizar estado"
"View All Reviews","Ver todas as valoracións"
"View Details","Ver detalles"
"Visible In","Visible en"
"Websites","Sitios web"
"Write Your Own Review","Escriba a súa propia valoración"
"You have submitted no reviews.","Non enviou ningunha valoración."
"You're reviewing: %s","Está a analisar: %s"
"Your Rating:","A súa clasificación:"
"Your Review (submitted on %s):","A súa valoración (enviado en %s):"
"Your review has been accepted for moderation","A sua análise foi aceite para moderação"
"OR","OR"
"My Product Reviews","My Product Reviews"
