"Billing Information","Informaci&oacute;n de pago"
"Change Payment Method","Cambiar el m&eacute;todo de pago"
"Change Shipping Address","Cambiar la direcci&oacute;n de env&iacute;o"
"Edit Shopping Cart","Editar el carrito de compras"
"Email","Email"
"Incl. Tax","Incl. Tax"
"Items in Your Shopping Cart","Articulos en su carrito de compras"
"No shipping method required.","No shipping method required."
"PayPal Account","Cuenta de PayPal"
"PayPal Email","PayPal Email"
"Payment Method","M&eacute;todo de pago"
"Place an Order","Realizar un Pedido"
"Please select a shipping method...","Por favor, seleccione un m&eacute;todo de env&iacute;o..."
"Price","Precio"
"Product Name","Nombre del producto"
"Qty","Cant."
"Review Order","Revisar el Pedido"
"Shipping Address","Direccion de env&iacute;o"
"Shipping Information","Informacion de env&iacute;o"
"Shipping Method","M&eacute;todo de env&iacute;o"
"Sorry, no quotes are available for this order at this time.","Perd&oacute;n, no hay cotizaciones disponibles para este Pedido en este momento."
"Submitting order information...","Enviando informaci&oacute;n del pedido…"
"Subtotal","Subtotal"
"Update Shipping Method","Actualizar el m&eacute;todo de env&iacute;o"
"You will be redirected to PayPal website when you place an order.","Ser&aacute; redirigido a la p&aacute;gina de PayPal cuando realice el pedido."
"You will be redirected to Paypal in a few seconds.","You will be redirected to Paypal in a few seconds."
"Your billing address will be ignored and you will be redirected to PayPal website","Su direcci&oacute;n de pago ser&aacute; ignorada y ser&aacute; redirigido al sitio web de PayPal."
