"* Required Fields","* Campos Requeridos"
"Add","Agregar"
"Add Gift Message","Agregar mensaje de regalo"
"Allow Gift Messages for Order Items","Permitir mensajes de regalo para los artículos del Pedido"
"Allow Gift Messages on Order Level","Permitir mensajes de regalo a nivel del Pedido"
"Are you sure?","Est&aacute; seguro?"
"Cancel","Cancelar"
"Check this checkbox if you want to add gift messages to your items.","Marque la casilla si quiere agregar mensajes de regalo a sus artículos."
"Check this checkbox if you want to add gift messages.","Marque esta casilla si quiere agregar mensajes de regalo."
"Close","Cerrar"
"Do you have any gift items in your order?","Tiene alg&uacute;n art&iacute;culo de regalo en su Pedido?"
"Edit","Editar"
"Edit Gift Message","Editar el mensaje de regalo"
"Enter a gift message for each item in your order.","Escribir un mensaje de regalo para cada artículo de su Pedido."
"Enter a gift message for entire order.","Escribir un mensaje de regalo para el Pedido completo."
"Enter a gift message for this address.","Escribir un mensaje de regalo para esta dirección."
"Error while saving gift message","Hubo un error al guardar el mensaje de regalo"
"From","De"
"Gift Message","Mensaje de regalo"
"Gift Messages","Mensajes de regalo"
"Gift message has been successfully saved","El mensaje de regalo fue guardado con éxito"
"Item %d of %d","Artículo %d de %d"
"Message","Mensaje"
"No","No"
"Remove","Quitar"
"Save","Guardar"
"Save Gift Message","Guardar el mensaje de regalo"
"To","Para"
"Unknown entity type","Tipo desconocido de entidad"
"Use config","Usar configuración"
"Yes","Sí"
"You can leave a box blank if you don't wish to add a gift message for the item.","Dejad en blanco si no queréis añadir un mensaje de regalo para el artículo."
"You can leave a box blank if you don't wish to add a gift message for this address.","Dejad en blanco si no queréis añadir un mensaje de regalo para esta dirección."
"You can leave a box blank if you don't wish to add a gift message for whole order.","Dejad en blanco si no queréis añadir un mensaje de regalo para el pedido completo."
"Your gift message has been successfully removed","Su mensaje de regalo ha sido borrado con éxito"
"Your gift message has been successfully saved","Su mensaje de regalo ha sido guardado con éxito"
"Your gift message successfully removed","Su mensaje de regalo borrado con éxito"
"Your gift message successfully saved","Su mensaje de regalo guardado con éxito"
