"Poll not exists","Anketa neexistuje"
"Poll with the same question","Anketa s rovnakou otázkou"
"Poll Question","Anketná otázka"
"Poll Answers","Anketné odpovede"
"Date Closed","Dátum uzavretia"
"Date Posted","Dátum vytvorenia"
"Edit Poll Answer","Editovať anketné odpovede"
"Edit Poll '%s'","Editovať anketu '%s'"
"Edit Answer '%s'","Editovať odpoveď '%s'"
"Vote","Hlasuj"
"ID","ID"
"Poll information","Informácie o ankete"
"Poll Information","Informácie o ankete"
"Are you sure you want to delete it?","Naozaj chcete toto zmazať?"
"Invalid Answer","Neplatná odpoveď"
"Unable to find answer to delete.","Nie je možné nájsť odpoveď pre zmazanie."
"New Poll","Nová anketa"
"Answer was successfully saved","Odpoveď bola úspešne uložená"
"Answer with the same title in this poll","Odpoveď pod rovnakým titulkom v tejto ankete"
"Actions","Operácie"
"Open","Otvorená"
"Votes Count","Počítadlo hlasov"
"Votes Count:","Počítadlo hlasov:"
"Number of Responses","Počet odpovedí"
"Polls","Polls"
"Add New Poll","Pridať novú anketu"
"Add New Answer","Pridať novú odpoveď"
"Add Answer","Pridať odpoveď"
"Assigned Answers","Priradené odpovede"
"Poll Manager","Správa ankiet"
"Status","Stav"
"Answer Title","Titulok odpovede"
"Answer Title:","Titulok odpovede:"
"Save Poll","Uložiť anketu"
"Save Answer","Uložiť odpoveď"
"Community Poll","Verejná anketa"
"Visible In","Viditeľné v"
"Closed","Zatvorená"
"Delete","Zmazať"
"Delete Poll","Zmazať anketu"
"Delete Answer","Zmazať odpoveď"
