"Attempt to add an invalid object","Попытка добавить неправильный объект"
"Attribute '%s' used in configurable products.","Атрибут '%s' используется в настраиваемых товарах."
"Attribute set with the ""%s"" name already exists","Набор атрибутов с названием ""%s"" уже существует"
"Attribute used in configurable products.","Атрибут используется в настраиваемых товарах."
"Attribute with the same code","Атрибут с таким же кодом"
"Data integrity: No header row found for attribute","Целостность данных: не найдена строка заголовка для атрибута"
"Default Product Listing Sort by not exists on Available Product Listing Sort by","Значение по умолчанию поля ""Сортировать по критерию"" списка товаров не существует в доступных значениях для этого поля."
"Default option value is not defined","Значение варианта по умолчанию не определено"
"EAV types and attributes","EAV типы и атрибуты"
"Entity collection expected","Пропущена коллекция сущности"
"Entity collections expected","Пропущены коллекции сущности"
"Entity is not initialized","Сущность не инициализируется"
"Failed to load node %s from config.","Не удаётся загрузить узел %s из конфигурации."
"Frontend label is not defined","Заголовок для пользовательской части сайта не было определено"
"Invalid alias, already exists in joined attributes","Неверный псевдоним (alias), уже существует в присоединенных атрибутах"
"Invalid attribute name: %s","Неверное название атрибута: %s"
"Invalid attribute requested: %s","Запрошен неверный атрибут: %s"
"Invalid attribute type","Неверный тип атрибута"
"Invalid character encountered in increment ID: %s","Неверный символ в увеличивающемся ИД: %s"
"Invalid data object key","Неверный ключ объекта данных"
"Invalid entity specified","Указана неправильная сущность"
"Invalid entity supplied","Поставлена неправильная сущность"
"Invalid entity supplied: %s","Поставлена неправильная сущность: %s"
"Invalid entity type","Неправильный тип сущности"
"Invalid entity_id, skipping the record","Неправильный entity_id, пропуск записи"
"Invalid entity_type specified: %s","Указан неправильный entity_type: %s"
"Invalid foreign key","Неправильный внешний ключ"
"Invalid joined fields","Неправильные присоединяемые поля"
"Invalid store specified","Указан неверный магазин"
"Joined field or attribute expression with this alias is already declared","Присоединяемое поле или выражение атрибута с этим псевдонимом уже объявлены"
"Joined field with this alias (%s) is already declared","Присоединяемое поле для этого псевдонима (alias) (%s) уже объявлено"
"Joined field with this alias is already declared","Присоединяемое поле для этого псевдонима (alias) уже объявлено"
"Loaded %d records","Загружено записей %d "
"No","Нет"
"No options found in config node %s","Не найдены параметры в конфигурации узла %s"
"Problem loading a record, aborting. Error: %s","Проблема загрузки записи. Ошибка: %s"
"Problem loading the collection, aborting. Error: %s","Проблема загрузки коллекции. Ошибка: %s"
"Problem saving a record, aborting. Error: ","Проблема сохранения записи. Ошибка:"
"Problem saving the collection, aborting. Error: %s","Проблема сохранения коллекции. Ошибка: %s"
"Saved ","Сохранено"
"Scope must not be changed, because the attribute is used in configurable products.","Область действия не должна изменяться, потому что атрибут используется в настраиваемых товарах."
"The attribute code '%s' is reserved by system. Please, try another attribute code.","Код атрибута '%s' зарезервирован в система. Пожалуйста, введите другой код для атрибута."
"Unknown parameter","Неизвестный параметр"
"Valid store_id is expected!","Ожидается действительный store_id"
"Value of attribute ""%s"" must be unique","Значение атрибута ""%s"" должно быть уникальным"
"Wrong attribute ID","Неправильный ИД атрибута"
"Wrong attribute group ID","Неправильный ИД группы атрибута"
"Wrong attribute set ID","Неправильный ИД набора атрибутов"
"Wrong entity ID","Неправильный ИД сущности"
"Yes","Да"
