"Actions","Acciones"
"Active","Activo"
"Add New Rule","Agregar una nueva regla"
"Apply Rules","Aplicar reglas"
"Attribute Set","Conjunto de atributos"
"Catalog","Catálogo"
"Catalog Price Rule","Regla de precio para el catálogo"
"Catalog Price Rules","Reglas de precios del catálogo"
"Category","Categoría"
"Comments History","Historial de comentarios"
"Conditions","Condiciones"
"Conditions (leave blank for all products)","Condiciones (deje en blanco para todos los productos)"
"Conditions Combination","Combinación de condiciones"
"Credit Memos","Notas de crédito"
"Customer Groups","Grupos de clientes"
"Customer is new buyer: %s","El cliente es un nuevo comprador: %s"
"Customer registered: %s","Cliente registrado: %s"
"Date Expire","Fecha de caducidad"
"Date From","Desde fecha"
"Date Start","Fecha de inicio"
"Date To","Hasta fecha"
"Delete Rule","Borrar la regla"
"Description","Descripción"
"Description: %s","Descripción: %s"
"Edit Rule","Editar la regla"
"Edit Rule '%s'","Editar la regla '%s'"
"Expire at: %s","Caduca el: %s"
"From Date","Fecha desde"
"General Information","Información general"
"Gift Messages","Mensajes para regalo"
"ID","ID"
"Inactive","Inactivo"
"Invoices","Facturas"
"NOT LOGGED IN","NO HA INICIADO SESION"
"Name: %s","Nombre: %s"
"New Rule","Nueva regla"
"No","No"
"Options","Opciones"
"Order Credit Memos","Notas de Crédito de pedidos"
"Order Gift Messages","Mensajes de regalo de pedidos"
"Order History","Historial de Pedidos"
"Order Invoices","Facturas de Pedidos"
"Order Shipments","Envíos de Pedidos"
"Priority","Prioridad"
"Product Attribute","Atributo del producto"
"Promotions","Promociones"
"Rule Information","Información de la regla"
"Rule Name","Nombre de la regla"
"Rule was successfully deleted","La regla fue borrada con éxito"
"Rule was successfully saved","La regla fue grabada con éxito"
"Rules were successfully applied","Las reglas fueron aplicadas con éxito"
"Save Rule","Guardar la regla"
"Save and Apply","Guardar y aplicar"
"Shipments","Envíos"
"Start at: %s","Comienza el: %s"
"Status","Estado"
"Stop further rules processing","Detener el procesamiento de otras reglas"
"The page you are trying to save no longer exists","La página que está intentando grabar ya no existe"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog."
"This rule no longer exists","Esta regla ya no existe"
"To Date","A la fecha"
"Unable to apply rules","No se pueden aplicar las reglas"
"Unable to find a page to delete","No se puede encontrar una página para borrar"
"Update product's %s %s: %s","Actualizar productos %s %s: %s"
"Websites","Sitios web"
"Yes","Sí"
