"Billing Information","賬單信息"
"Change Payment Method","修改支付方式"
"Change Shipping Address","修改配送地址"
"Edit Shopping Cart","修改購物車"
"Email","Email"
"Incl. Tax","Incl. Tax"
"Items in Your Shopping Cart","購物車中商品"
"No shipping method required.","No shipping method required."
"PayPal Account","PayPal帳戶"
"PayPal Email","PayPal Email"
"Payment Method","支付方式"
"Place an Order","下訂單"
"Please select a shipping method...","請選擇配送方式... "
"Price","價格"
"Product Name","商品名稱"
"Qty","數量"
"Review Order","查閱訂單"
"Shipping Address","配送地址"
"Shipping Information","配送信息"
"Shipping Method","配送方式"
"Sorry, no quotes are available for this order at this time.","對不起，目前沒有該訂單的報價。 "
"Submitting order information...","提交訂單信息... "
"Subtotal","小計"
"Update Shipping Method","更新配送方式"
"You will be redirected to PayPal website when you place an order.","下訂單時，會轉向PayPal網站。 "
"You will be redirected to Paypal in a few seconds.","You will be redirected to Paypal in a few seconds."
"Your billing address will be ignored and you will be redirected to PayPal website","不採用您的賬單地址，將轉向PayPal網站"
