"Attempt to add an invalid object","พยายามเพิ่มวัตถุที่ไม่ถูกต้อง"
"Attribute '%s' used in configurable products.","คุณลักษณะ '%s' ใช้ในการแก้ไขสินค้า"
"Attribute set with the ""%s"" name already exists","Attribute set with the ""%s"" name already exists"
"Attribute used in configurable products.","คุณลักษณะใช้ในการแก้ไขสินค้า."
"Attribute with the same code","คุณลักษณะที่มีโค้ดเดียวกัน"
"Data integrity: No header row found for attribute","ความสมบูรณ์ของข้อมูล: ไม่พบหัวแถวสำหรับคุณลักษณะ"
"Default Product Listing Sort by not exists on Available Product Listing Sort by","Default Product Listing Sort by not exists on Available Product Listing Sort by"
"Default option value is not defined","ยังไม่ได้กำหนดค่าเริ่มต้นของตัวเลือก"
"EAV types and attributes","EAV types and attributes"
"Entity collection expected","ระบบต้องการค่า Entity คอลเลคชั่น"
"Entity collections expected","ระบบต้องการค่า Entity คอลเลคชั่น"
"Entity is not initialized","ยังไม่ได้เริ่มต้นทำงาน Entity "
"Failed to load node %s from config.","Failed to load node %s from config."
"Frontend label is not defined","ป้ายของส่วนหน้า ยังไม่ถูกกำหนด"
"Invalid alias, already exists in joined attributes","นามแฝงไม่ถูกต้องและมีอยู่แล้วในคุณลักษณะร่วม"
"Invalid attribute name: %s","ชื่อคุณลักษณะไม่ถูกต้อง: %s"
"Invalid attribute requested: %s","การร้องขอคุณลักษณะไม่ถูกต้อง: %s"
"Invalid attribute type","ประเภทคุณลักษณะไม่ถูกต้อง"
"Invalid character encountered in increment ID: %s","ตัวอักษรที่พบในรหัสที่เพิ่มขึ้นไม่ถูกต้อง: %s"
"Invalid data object key","ข้อมูล Object Key ไม่ถูกต้อง"
"Invalid entity specified","Entity ที่ถูกระบุไม่ถูกต้อง"
"Invalid entity supplied","การป้อนข้อมูล entity ไม่ถูกต้อง"
"Invalid entity supplied: %s","การป้อนข้อมูล entity ไม่ถูกต้อง: %s"
"Invalid entity type","ประเภทของ Entity ไม่ถูกต้อง"
"Invalid entity_id, skipping the record","entity_id ไม่ถูกต้อง กำลังข้ามรายการ"
"Invalid entity_type specified: %s","entity_type ที่ระบุไม่ถูกต้อง: %s"
"Invalid foreign key","foreign key ไม่ถูกต้อง"
"Invalid joined fields","ฟิลด์ร่วมไม่ถูกต้อง"
"Invalid store specified","ร้านค้าที่ระบุไม่ถูกต้อง"
"Joined field or attribute expression with this alias is already declared","ฟิลด์ร่วมหรือการแสดงคุณลักษณะที่มีนามแฝงนี้ถูกประกาศไปแล้ว"
"Joined field with this alias (%s) is already declared","ฟิลด์ร่วมที่ใช้นามแฝงนี้ (%s) ถูกประกาศไปแล้ว"
"Joined field with this alias is already declared","ฟิลด์ร่วมที่มีนามแฝงนี้ถูกประกาศไปแล้ว"
"Loaded %d records","โหลดการบัยทึก %d "
"No","ไม่่"
"No options found in config node %s","No options found in config node %s"
"Problem loading a record, aborting. Error: %s","พบปัญหาขณะกำลังโหลดรายการ กำลังยกเลิก ข้อผิดพลาด: %s"
"Problem loading the collection, aborting. Error: %s","เกิดปัญหาขณะโหลดคอลเลคชั่น กำลังยกเลิก ข้อผิดพลาด: %s"
"Problem saving a record, aborting. Error: ","พบปัญหาในการบันทึกรายการ กำลังยกเลิก ข้อผิดพลาด:"
"Problem saving the collection, aborting. Error: %s","พบปัญหาขณะบันทึกคอลเลคชั่น กำลังยกเลิก ข้อผิดพลาด: %s"
"Saved ","บันทึกแล้ว"
"Scope must not be changed, because the attribute is used in configurable products.","Scope must not be changed, because the attribute is used in configurable products."
"The attribute code '%s' is reserved by system. Please, try another attribute code.","The attribute code '%s' is reserved by system. Please, try another attribute code."
"Unknown parameter","parameter ที่ไม่รู้จัก"
"Valid store_id is expected!","ระบบต้องการข้อมูล store_id ที่ถูกต้อง!"
"Value of attribute ""%s"" must be unique","ค่าของคุณลักษณะ ""%s""ควรจะเป็นลักษณะเฉพาะ"
"Wrong attribute ID","รหัสคุณลักษณะไม่ถูกต้อง"
"Wrong attribute group ID","รหัสกลุ่มคุณลักษณะไม่ถูกต้อง"
"Wrong attribute set ID","รหัสชุดคุณลักษณะไม่ถูกต้อง"
"Wrong entity ID","Entity รหัสไม่ถูกต้อง"
"Yes","ใช่"
