"API Login ID","API登录ID"
"Authorize Only","仅授权"
"Authorize and Capture","授权和攫取"
"Authorize.net","Authorize.net"
"Credit Card Types","信用卡类型"
"Credit Card Verification","信用卡验证"
"Debug","调试（测试）"
"Email customer","发邮件给客户"
"Enabled","已启用"
"Error in authorizing the payment","支付授权时出错"
"Error in capturing the payment","接受支付时出错"
"Error in payment gateway","支付网关错误"
"Error in refunding the payment","退款时出错"
"Error in refunding the payment.","退款时出错。"
"Error in retrieving the transaction","获取交易信息错误"
"Fraud order status","欺诈订单状态"
"Gateway request error: %s","网关请求错误：%s"
"Invalid amount for authorization","授权金额不正确"
"Invalid amount for authorization.","授权金额无效。"
"Invalid transaction id","交易编号不正确"
"Maximum Order Total","订单最大值"
"Merchant Login","商户登录"
"Merchant's email","商户的电子邮件"
"Minimum Order Total","订单最小值"
"New order status","新订单状态"
"Partner","合作伙伴"
"Password","密码"
"Payflow Pro","Payflow Pro"
"Payment Action","支付操作"
"Payment authorization error.","付款授权错误。"
"Payment authorization transaction has been declined.","付款授权交易被拒绝。"
"Payment from Specific countries","从指定国家付款"
"Payment from applicable countries","从适用国家付款"
"Proxy Host","代理主机"
"Proxy Port","代理端口"
"Sort order","排序"
"TENDER","TENDER"
"Test mode","测试模式"
"Title","标题"
"Transaction key","交易密钥"
"URL","网址"
"Use Proxy","使用代理"
"User","用户"
"VERBOSITY","文本输出"
"Voided transaction","无效交易"
