"Action","Handling"
"All types","Alle typer"
"Backup file ""%s"" can't read or write","Backupfil ""%s"" kan ikke lese elelr skrive"
"Backup file ""%s"" doesn't exist","Backupfil ""%s"" eksisterer ikke"
"Backup file doesn't exist","Sikkerhetskopien finnes ikke"
"Backup file handler don't specify","Backupfil handler ikke spesifisert"
"Backup file path don't specify","Backupfil-sti ikke spesifisert"
"Backups","Sikkerhetskopier"
"Cannot read backup file","Kunne ikke lese sikkerhetskopi"
"Create Backup","Lag sikkerhetskopi"
"DB","Database"
"Database was successfuly backed up.","Databasen ble tatt backup av."
"Download","Last ned"
"Error write to Backup file ""%s""","Error write Backup file ""%s"""
"File compressed with Zlib, but this extension is not installed on server","Filen er komprimert med Zlib, men dette tillegget er ikke installert på tjeneren"
"Size, byte","Størrelse, byte"
"Time","Tid"
"Type","Type"
"Unable to create backup. Please, try again later.","Feil under opprettelse av backup. Prøv igjen."
"Wrong order of creation for new backup","Feil rekkefølge for opprettelse av ny sikkerhetskopi"
