" The customer doesn't exist in the system anymore"," The customer doesn't exist in the system anymore"
"""%s"" coupon code is not valid.","""%s"" koda kupona ni pravilna."
"%s / %s rate:","%s / %s rate:"
"%s for %s","%s for %s"
"%s order(s) successfully canceled","%s order(s) successfully canceled"
"%s order(s) successfully put on hold","%s order(s) successfully put on hold"
"%s order(s) successfully released from holding status","%s order(s) successfully released from holding status"
"* - Enter custom price excluding tax","* - Enter custom price excluding tax"
"* - Enter custom price including tax","* - Enter custom price including tax"
"About This Order:","O tem naroèilu:"
"About Your Order","O vašem naroèilu"
"Account Information","Informacije raèuna"
"Action","Action"
"Actions","Actions"
"Add","Dodaj"
"Add Gift Messsage","Add Gift Messsage"
"Add New Address","Dodaj nov naslov"
"Add Order Comments","Dodaj komentar k naroèilu"
"Add Products","Add Products"
"Add Selected Product(s) to Option","Add Selected Product(s) to Option"
"Add Selected Product(s) to Order","Add Selected Product(s) to Order"
"Add To Order","Add To Order"
"Add Tracking Number","Add Tracking Number"
"Add a gift message for <strong>each gift item</strong>","Add a gift message for <strong>each gift item</strong>"
"Add a gift message for the <strong>entire order</strong>","Add a gift message for the <strong>entire order</strong>"
"Add comment to order","Add comment to order"
"Add new comment to shipment","Add new comment to shipment"
"Add new tracking number","Add new tracking number"
"Add to Cart","Dodaj v košarico"
"Address","Naslov"
"Adjustment Fee","Adjustment Fee"
"Adjustment Fee:","Adjustment Fee:"
"Adjustment Refund","Adjustment Refund"
"Adjustment Refund:","Adjustment Refund:"
"Allow Reorder","Allow Reorder"
"Amount","Amount"
"Append Comments","Append Comments"
"Apply","Potrdi"
"Apply Coupon Code","Potrdi kodo kupona"
"Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
"Are you sure?","Ste preprièani?"
"Are you sure? This order will be cancelled and a new one will be created instead","Are you sure? This order will be cancelled and a new one will be created instead"
"Back to My Orders","Nazaj na moja naroèila"
"Backordered","Backordered"
"Bill to First name","Raèun na ime"
"Bill to Last name","Raèun na priimek"
"Bill to Name","Bill to Name"
"Billing Address","Naslov Plaèevanja"
"Buy %s for price %s","Buy %s for price %s"
"Can not add order history.","Can not add order history."
"Can not create block ""%s""","Can not create block ""%s"""
"Can not do invoice for order.","Can not do invoice for order."
"Can not do shipment for order.","Can not do shipment for order."
"Can not register existing creditmemo","Can not register existing creditmemo"
"Can not register existing invoice","Can not register existing invoice"
"Can not register existing shipment","Can not register existing shipment"
"Can't get order instance","Can't get order instance"
"Cancel","Preklièi"
"Cancel invoice","Cancel invoice"
"Cancel order","Cancel order"
"Canceled","Preklicano"
"Cannot create an empty shipment.","Cannot create an empty shipment."
"Capture","Capture"
"Capture Amount","Capture Amount"
"Capture Offline","Capture Offline"
"Capture Online","Capture Online"
"Capture invoice","Capture invoice"
"Carrier","Carrier"
"Change Status","Spremeni status"
"Change status, add comments","Change status, add comments"
"Checkout totals sort order","Checkout totals sort order"
"Click to change shipping method","Click to change shipping method"
"Closed","Zakljuèeno"
"Comment","Komentar"
"Comment Text","Besedilo komentarja"
"Comments","Comments"
"Comments History","Zgodovina komentarjev"
"Complete","Dokonèano"
"Country","Država"
"Coupons","Kuponi"
"Create","Ustvari"
"Create New Customer","Ustvari novega kupca"
"Create New Order","Ustvari novo naroèilo"
"Create New Order for %s","Ustvari novo naroèilo za %s"
"Create New Order for %s in %s","Create New Order for %s in %s"
"Create New Order for New Customer","Naredi novo naroèilo za novega kupca"
"Create New Order for New Customer in %s","Create New Order for New Customer in %s"
"Create Shipment","Create Shipment"
"Create new invoice for order","Create new invoice for order"
"Create new shipment for order","Create new shipment for order"
"Created At","Narejeno ob"
"Credit Memo","Credit Memo"
"Credit Memo #","Credit Memo #"
"Credit Memo # ","Credit Memo # "
"Credit Memo Comment Email Sender","Credit Memo Comment Email Sender"
"Credit Memo Comment Email Template","Credit Memo Comment Email Template"
"Credit Memo Comment Email Template for Guest","Credit Memo Comment Email Template for Guest"
"Credit Memo Comments","Credit Memo Comments"
"Credit Memo Email Sender","Credit Memo Email Sender"
"Credit Memo Email Template","Credit Memo Email Template"
"Credit Memo Email Template for Guest","Credit Memo Email Template for Guest"
"Credit Memo Update","Credit Memo Update"
"Credit Memo Update for Guest","Credit Memo Update for Guest"
"Credit Memo email not sent","Credit Memo email not sent"
"Credit Memo email sent","Credit Memo email sent"
"Credit Memos","Credit Memos"
"Creditmemo","Creditmemo"
"Custom Options","Custom Options"
"Custom Price","Custom Price"
"Custom Value","Custom Value"
"Customer","Customer"
"Customer Group","Skupina Kupca"
"Customer Name","Ime kupca"
"Customer's Current Activities","Customer's Current Activities"
"Date","Datum"
"Date Shipped","Date Shipped"
"Date of Birth","Date of Birth"
"Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)","Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)"
"Delete","Izbriši"
"Description message","Description message"
"Discount","Discount"
"Discount ","Discount "
"Discount (%s)","Discount (%s)"
"Discount :","Discount :"
"Discount Amount","Discount Amount"
"Discount%s","Discount%s"
"Display Order ID in Header","Display Order ID in Header"
"Document","Dokument"
"Edit","Uredi"
"Edit Gift Messsage","Edit Gift Messsage"
"Edit Order #%s","Uredi naroèilo #%s"
"Email","Email"
"Email Copy of Credit Memo","Email Copy of Credit Memo"
"Email Copy of Invoice","Email Copy of Invoice"
"Email Copy of Shipment","Email Copy of Shipment"
"Email Order Confirmation","Email Order Confirmation"
"Enable","Enable"
"Enabled","Enabled"
"Error to show in shopping cart","Error to show in shopping cart"
"Excl. Tax","Excl. Tax"
"From","Od"
"From Name","From Name"
"From:","Od:"
"G.T. (Base)","G.T. (Base)"
"G.T. (Purchased)","G.T. (Purchased)"
"Get shipping methods and rates","Get shipping methods and rates"
"Gift","Darilo"
"Gift Certificate","Darilni Certifikat"
"Gift Message","Darilno sporoèilo"
"Gift Message for Entire Order","Gift Message for Entire Order"
"Gift Message for this Order","Gift Message for this Order"
"Grand Total","Skupaj"
"Grand Total to be charged","Grand Total to be charged"
"Grand Total:","Skupaj:"
"Guest","Gost"
"Hold","Zadrži"
"Hold action is not available","Hold action is not available"
"Hold order","Hold order"
"ID","ID"
"If empty, the default description above will be used","If empty, the default description above will be used"
"If empty, the default error above will be used","If empty, the default error above will be used"
"Incl. Tax","Incl. Tax"
"Information","Informacija"
"Invalid carrier specified.","Invalid carrier specified."
"Invalid item option format","Invalid item option format"
"Invalid qty to invoice item ""%s""","Invalid qty to invoice item ""%s"""
"Invalid qty to refund item ""%s""","Invalid qty to refund item ""%s"""
"Invalid qty to ship for item ""%s""","Invalid qty to ship for item ""%s"""
"Invalid renderer model","Invalid renderer model"
"Invalid request for adding product to quote","Invalid request for adding product to quote"
"Invoice","Invoice"
"Invoice #","Invoice #"
"Invoice # ","Invoice # "
"Invoice #%s","Invoice #%s"
"Invoice Comment Email Sender","Invoice Comment Email Sender"
"Invoice Comment Email Template","Invoice Comment Email Template"
"Invoice Comment Email Template for Guest","Invoice Comment Email Template for Guest"
"Invoice Comments","Invoice Comments"
"Invoice Date","Invoice Date"
"Invoice Email Sender","Invoice Email Sender"
"Invoice Email Template","Invoice Email Template"
"Invoice Email Template for Guest","Invoice Email Template for Guest"
"Invoice Update","Invoice Update"
"Invoice Update for Guest","Invoice Update for Guest"
"Invoice and Packing Slip Design","Invoice and Packing Slip Design"
"Invoice can not be canceled","Invoice can not be canceled"
"Invoice can not be captured","Invoice can not be captured"
"Invoice can not be void","Invoice can not be void"
"Invoice cancel problem","Invoice cancel problem"
"Invoice capture problem","Invoice capture problem"
"Invoice email not sent","Invoice email not sent"
"Invoice email sent","Invoice email sent"
"Invoice void problem","Invoice void problem"
"Invoiced","Invoiced"
"Invoices","Invoices"
"Item","Artikel"
"Item Status","Item Status"
"Item object is not specified.","Item object is not specified."
"Item option with code %s already exist","Item option with code %s already exist"
"Item options declare error","Item options declare error"
"Item ordered qty","Item ordered qty"
"Item qty declare error","Item qty declare error"
"Items Invoiced","Items Invoiced"
"Items Ordered","Število naroèenih predmetov"
"Items Refunded","Items Refunded"
"Items Shipped","Dostavljeni Artikli"
"Items options declare error.","Items options declare error."
"Items to Invoice","Items to Invoice"
"Items to Refund","Items to Refund"
"Items to Ship","Items to Ship"
"Last ordered items","Last ordered items"
"Link to the new order","Link to the new order"
"Link to the previous order","Link to the previous order"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)"
"Logo for HTML print view","Logo for HTML print view"
"Logo for PDF print-outs (200x50)","Logo for PDF print-outs (200x50)"
"Message","Sporoèilo"
"Message:","Sporoèilo:"
"Minimum amount","Minimum amount"
"Minimum order amount","Minimum order amount"
"Mixed","Mešano"
"Move to Shopping Cart","Move to Shopping Cart"
"Move to Wishlist","Move to Wishlist"
"Multi-address description message","Multi-address description message"
"Multi-address error to show in shopping cart","Multi-address error to show in shopping cart"
"My Orders","Moja naroèila"
"My Orders - Details","Moja naroèila - Podrobnosti"
"Name","Name"
"New","New"
"New Credit Memo","New Credit Memo"
"New Credit Memo for Guest","New Credit Memo for Guest"
"New Invoice","New Invoice"
"New Invoice for Guest","New Invoice for Guest"
"New Order","New Order"
"New Order Confirmation Email Sender","New Order Confirmation Email Sender"
"New Order Confirmation Template","New Order Confirmation Template"
