"Account login","Account login"
"Account password","Account password"
"Active","Activar"
"Add Attribute Mapping","Engadir mapeamento de atributo"
"Add New Attribute","Engadir novo atributo"
"Add to Google Base","Engadir a Google Base"
"Are you sure?","Está vostede seguro?"
"Attribute","Atributo"
"Attribute Set","Conxunto de atributos"
"Attribute Set and Item Type","Grupo de atributo e tipo de elemento"
"Attributes","Atributos"
"Attributes Set","Grupo de atributos"
"Attributes mapping","Attributes mapping"
"AuthSub","AuthSub"
"Available Products","Produtos dispoñibles"
"British Pound Sterling","Libra esterlina británica"
"Cannot update Google Base Item for Store '%s'","Non se pode actualizar o elemento de Google Base para a tenda '%s'"
"Captcha confirmation error: %s","Erro na confirmación de Captcha : %s"
"Captcha confirmed successfully","Captcha confirmed successfully"
"Clicks","Clics"
"ClientLogin","Nome de usuario do cliente"
"Confirm","Confirmar"
"Current Mapping will be reloaded. Continue?","Cargarase o mapeamento actual. Quere continuar?"
"Custom attribute, no mapping","Atributo personalizado sen mapeamento"
"Default Store (%s)","Default Store (%s)"
"Delete","Eliminar"
"Delete Mapping","Eliminar mapeamento"
"Edit Item Type","Editar tipo de elemento"
"Edit Item Type ""%s""","Editar tipo de elemento ""%s"""
"Error: %s","Erro: %s"
"Euro","Euro"
"Expires","Caduca"
"Germany","Alemaña"
"Google Base","Google Base"
"Google Base Attribute","Atributo de Google Base"
"Google Base ID","ID de Google Base"
"Google Base Item Type","Tipo de elemento de Google Base"
"Google Base Item type","Tipo de elemento de Google Base"
"Google Base Items","Elementos de Google Base"
"Hide","Ocultar"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","O modelo de produto non é válido para o elemento de Google Base"
"Item Type was deleted","Eliminouse o tipo de elemento"
"Item Types","Tipos de elemento"
"Item model is not specified to delete Google Base entry","Item model is not specified to delete Google Base entry"
"Item type was successfully saved","Item type was successfully saved"
"Items","Elementos"
"Manage Attribute Mapping","Xestionar o mapeamento de atributo"
"Manage Attributes","Xestionar atributos"
"Manage Items","Xestionar elementos"
"New Item Type","Novo tipo de elemento"
"No","Non"
"No items were deleted from Google Base","Non se eliminou ningún elemento do Google Base"
"No items were published","Non se publicou ningún elemento"
"No items were saved as Inactive items","No items were saved as Inactive items"
"No products were added to Google Base","Non se engadiron produtos ao Google Base"
"Object model is not specified to save Google Base entry","Object model is not specified to save Google Base entry"
"Page views","Visualizacións de páxina"
"Please, select Attribute Set and Google Item Type to load attributes","Por favor, seleccione un conxunto de atributos e un tipo de elemento de Google para cargar os atributos"
"Product Name","Nome do produto"
"Publish","Publicar"
"Published","Publicado"
"Remove","Eliminar"
"Save Mapping","Gardar mapeamento"
"Synchronize","Sincronizar"
"Target Country","País de destino"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Esta acción actualizará as estatísticas dos elementos e eliminará os elementos que non están dispoñibles en Google Base. Desexa continuar?"
"Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated","Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated"
"Total of %d items(s) were successfully published","Total of %d items(s) were successfully published"
"Total of %d items(s) were successfully removed from Google Base","Total of %d items(s) were successfully removed from Google Base"
"Total of %d items(s) were successfully saved as Inactive items","Total of %d items(s) were successfully saved as Inactive items"
"Total of %d product(s) were successfully added to Google Base","Total of %d product(s) were successfully added to Google Base"
"US Dollar","Dólar EUA"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Non foi posible conectarse a Google Base. Por favor, verifique as configuracións da conta en configuración."
"United Kingdom","Reino Unido"
"United States","Estados Unidos"
"Update Google Base item when product is updated","Update Google Base item when product is updated"
"View Available Products","Ver os produtos dispoñibles"
"View Item in Google Base","Ver elemento no Google Base"
"Yes","Si"
