"* Required Fields","* Required Fields"
"A new password was sent","A new password was sent"
"Account Dashboard","Account Dashboard"
"Account Information","Gwybodaeth Cyfrif"
"Account Sharing Options","Account Sharing Options"
"Account information was successfully saved","Account information was successfully saved"
"Action","Action"
"Add New Address","Ychwanegu Cyfeiriad Newydd"
"Add New Customer","Ychwanegu Cwsmer Newydd"
"Add New Customer Group","Ychwanegu Grwp Cwsmer Newydd"
"Added From","Added From"
"Additional Address Entries","Additional Address Entries"
"Address","Cyfeiriad"
"Address Book","Address Book"
"Address Information","Gwybodaeth Cyfeiriad"
"Addresses","Cyfeiriadau"
"Admin","Admin"
"All","Holl"
"All Store Views","All Store Views"
"All countries","All countries"
"Always optional","Always optional"
"Amount","Cyfanswm"
"Approved","Approved"
"Are you sure that you want to remove this item?","Are you sure that you want to remove this item?"
"Are you sure you want to cancel adding of this address?","Are you sure you want to cancel adding of this address?"
"Are you sure you want to delete this address?","Are you sure you want to delete this address?"
"Are you sure?","A ydych yn sicr?"
"Array of Entity collections is expected","Array of Entity collections is expected"
"Assign a customer group","Assign a customer group"
"Average Sale","Gwerthiant Cyfartalog"
"Back","Yn ôl"
"Back to Login","Yn ôl i Fewngofnodi"
"Bad request.","Bad request."
"Bill to Name","Bill to Name"
"Billing Information","Gwybodaeth Bilio"
"Bought From","Bought From"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Trwy creu cyfrif yn ein siop, mi fyddwch yn gallu symyd trwy y proses desg dalu yn gyflymach, cadw nifer o gyfeiriadau derbyn, edrych a cadw golwg ar eich archebion yn eich cyfrif, a mwy."
"CSV","CSV"
"Can't save address","Can't save address"
"Can't save customer","Can't save customer"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged."
"Cancel","Cancel"
"Change Account Password","Change Account Password"
"Change Billing Address","Change Billing Address"
"Change Password","Newid Cyfrinair"
"Change Shipping Address","Change Shipping Address"
"City","Dinas"
"Company","Cwmni"
"Config","Config"
"Confirm New Password","Cadarnhau Cyfrinair Newydd"
"Confirm Password","Cadarnhau Cyfrinair"
"Confirmation Link Email","Confirmation Link Email"
"Confirmed","Confirmed"
"Contact Information","Contact Information"
"Continue Shopping","Continue Shopping"
"Country","Gwlad"
"Create","Create"
"Create New Account Options","Create New Account Options"
"Create New Customer Account","Create New Customer Account"
"Create Order","Create Order"
"Create an Account","Creu Cyfrif"
"Create customer","Create customer"
"Create customer address","Create customer address"
"Current Password","Cyfrinair Cyfredol"
"Customer","Customer"
"Customer Addresses","Customer Addresses"
"Customer Api","Customer Api"
"Customer Configuration","Customer Configuration"
"Customer Group","Customer Group"
"Customer Group was successfully deleted","Customer Group was successfully deleted"
"Customer Group was successfully saved","Customer Group was successfully saved"
"Customer Groups","Customer Groups"
"Customer Information","Customer Information"
"Customer Login","Customer Login"
"Customer Since","Customer Since"
"Customer View","Customer View"
"Customer collection expected","Customer collection expected"
"Customer doesn't have primary billing address","Customer doesn't have primary billing address"
"Customer email already exists","Customer email already exists"
"Customer website id must be specified, when using website scope.","Customer website id must be specified, when using website scope."
"Customers","Cwsmeriaid"
"Customers Only","Customers Only"
"Customers Section","Customers Section"
"DD","DD"
"Date","Dyddiad"
"Date Added","Dyddiad Atodol"
"Date of Birth","Date of Birth"
"Date of Birth is required.","Date of Birth is required."
"Day","Day"
"Days in Wishlist","Days in Wishlist"
"Default Addresses","Default Addresses"
"Default Billing Address","Default Billing Address"
"Default Email Domain","Default Email Domain"
"Default Group","Default Group"
"Default Shipping Address","Default Shipping Address"
"Default Welcome Email","Default Welcome Email"
"Delete","Dileu"
"Delete Address","Dileu Cyfeiriad"
"Delete Customer","Dileu Cwsmer"
"Delete Customer Group","Dileu Grwp Cwsmer"
"Delete customer","Delete customer"
"Delete customer address","Delete customer address"
"Deleted Stores","Deleted Stores"
"Details","Manylion"
"Disabled","Disabled"
"Edit","Golygu"
"Edit Account Info","Edit Account Info"
"Edit Account Information","Golygu Gwybodaeth Cyfrif"
"Edit Address","Golygu Cyfeiriad"
"Edit Address Entry","Edit Address Entry"
"Edit Customer Group ""%s""","Edit Customer Group ""%s"""
"Edit Customer Groups","Golygu Grwpiau Cwsmer"
"Edit Customer's Address","Edit Customer's Address"
"Edit Group","Golygu Grwp"
"Edit Newsletter Subscription","Edit Newsletter Subscription"
"Edit Newsletters","Edit Newsletters"
"Edit Personal Information","Edit Personal Information"
"Email","E-bost"
"Email Address","Cyfeiriad Ebost"
"Email Sender","Email Sender"
"Entity collection is expected","Entity collection is expected"
"Error during retrieval of option value: %s","Error during retrieval of option value: %s"
"Ext. Price","Ext. Price"
"Failed to confirm customer account.","Failed to confirm customer account."
"Fax","Fax"
"First Name","Enw Cyntaf"
"First name can't be empty","First name can't be empty"
"Forgot Email Sender","Forgot Email Sender"
"Forgot Email Template","Forgot Email Template"
"Forgot Your Password?","Wedi Anghofio Eich Cyfrinair?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"General Subscription","General Subscription"
"Global","Global"
"Go to Address Book","Go to Address Book"
"Grand Total","Grand Total"
"Grand Total: %s","Grand Total: %s"
"Group","Grwp"
"Group ""%s"" can not be deleted","Group ""%s"" can not be deleted"
"Group Information","Gwybodaeth Grwp"
"Group Name","Group Name"
"Guest","Gŵr Gwadd"
"HTML","HTML"
"Hello, %s!","Hello, %s!"
"ID","ID"
"IP Address","IP Address"
"If you have an account with us, please log in.","Os oes gennych gyfrif gyda ni, mewngofnodwch os gwelwch yn dda."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Invalid attribute option specified for attribute %s (%s), skipping the record"
"Invalid attribute set specified, skipping the record","Invalid attribute set specified, skipping the record"
"Invalid current password","Invalid current password"
"Invalid customer data","Invalid customer data"
"Invalid email address","Invalid email address"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid login or password.","Invalid login or password."
"Invalid option id specified for %s (%s), skipping the record","Invalid option id specified for %s (%s), skipping the record"
"Invalid store specified, skipping the record","Invalid store specified, skipping the record"
"Items Order","Items Order"
"Last 5 Orders","Last 5 Orders"
"Last Activity","Last Activity"
"Last Name","Enw Olaf"
"Last Url","Last Url"
"Last Viewed Items","Last Viewed Items"
"Last date subscribed","Last date subscribed"
"Last date unsubscribed","Last date unsubscribed"
"Last name can't be empty","Last name can't be empty"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Lifetime Sales","Gwerthiant Oes"
"Log In","Mewngofnodi"
"Log Out","Log Out"
"Log in or Create an Account","Log in or Create an Account"
"Login","Mewngofnodi"
"Login Information","Gwybodaeth Mewngofnodi"
"Login and password are required","Login and password are required"
"Login or Create an Account","Mewngofnodi neu Creu Cyfrif"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","Manage Addresses"
"Manage Customers","Manage Customers"
"Missing email, skipping the record","Missing email, skipping the record"
