"Billing Information","Laskutustiedot"
"Change Payment Method","Vaihda maksutapa"
"Change Shipping Address","Vaihda toimitusosoite"
"Edit Shopping Cart","Muokkaa ostoskoria"
"Email","Sähköposti"
"Incl. Tax","Verollinen"
"Items in Your Shopping Cart","Tavaroita ostoskorisssi"
"No shipping method required.","No shipping method required."
"PayPal Account","PayPal-tili"
"PayPal Email","PayPal-sähköposti"
"Payment Method","Maksutapa"
"Place an Order","Tee tilaus"
"Please select a shipping method...","Valitse toimitustapa..."
"Price","Hinta"
"Product Name","Tuotenimi"
"Qty","Lukumäärä"
"Review Order","Esikatsele tilaus"
"Shipping Address","Toimitusosoite"
"Shipping Information","Vastaanottajan tiedot"
"Shipping Method","Toimitustapa"
"Sorry, no quotes are available for this order at this time.","Pahoittelemme, tilauksesta ei saa tällä kertaa tietoa."
"Submitting order information...","Lähetetään tilauksen tietoja..."
"Subtotal","Välisumma"
"Update Shipping Method","Päivitä toimitustapa"
"You will be redirected to PayPal website when you place an order.","Sinut ohjataan PayPal-sivustolle kun vahvistat tilauksesi."
"You will be redirected to Paypal in a few seconds.","You will be redirected to Paypal in a few seconds."
"Your billing address will be ignored and you will be redirected to PayPal website","Laskutusosoitettasi ei huomioida ja sinut ohjataan PayPal-sivustolle"
