"(eg: domain.com/identifier)","Om du exempelvis har domänen example.com, använd <i>om oss</i> för att få fullständiga adressen http://example.com/om-oss"
"Action","Åtgärd"
"Add New Block","Lägg till nytt block"
"Add New Page","Lägg till ny sida"
"All countries","Alla länder"
"Block Information","Blockinformation"
"Block Title","Blocktitel"
"Block was successfully deleted","Blocket har tagits bort"
"Block was successfully saved","Blocket har sparats"
"CMS","CMS"
"CMS Home Page","Hemsida för CMS"
"CMS No Route Page","Ingen-sida-funnen för CMS"
"Content","Innehåll"
"Custom Design","Anpassad design"
"Custom Theme","Anpassat tema"
"Custom Theme From","Anpassat tema från"
"Custom Theme To","Anpassat tema till"
"Customer Tax Class Information","Information om momsklass för kund"
"Date Created","Skapades den"
"Delete Block","Ta bort block"
"Delete Page","Ta bort sidan"
"Description","Beskrivning"
"Disabled","Inaktiverad"
"Edit Block","Ändra blocket"
"Edit Block '%s'","Ändra blocket '%s'"
"Edit Page","Ändra sidan"
"Edit Page '%s'","Ändra sidan '%s'"
"Enabled","Aktiverad"
"General Information","Allmän information"
"Go to Home Page","Gå till hemsidan"
"Home","Hem"
"Identifier","URL"
"Keywords","Nyckelord"
"Last Modified","Senast ändrad"
"Layout","Layout"
"Layout Update XML","XML för layoutuppdateringar"
"Manage Pages","Hantera sidor"
"Meta Data","Metadata"
"Meta Description","Metabeskrivning"
"Meta Keywords","Metanyckelord"
"New Block","Nytt block"
"New Page","Ny sida"
"Page Identifier cannot consist only of numbers.","Sididentifierare kan inte bestå av enbart nummer."
"Page Identifier for specified store already exist.","Sididentifierare för angiven butik, finns redan."
"Page Information","Information om sida"
"Page Status","Sidstatus"
"Page Title","Sidtitel"
"Page was successfully deleted","Sidan har tagits bort"
"Page was successfully saved","Sidan har uppdaterats"
"Poll Manager","Hantera enkäter"
"Product Tax Class Information","Information om momsklass för produkt"
"SEF URL Identifier","Sökmotorvänlig URL"
"Save Block","Spara block"
"Save Page","Spara sida"
"Show breadcrumbs for CMS pages","Visa brödsmulor för CMS-sidor"
"Static Blocks","Statiska block"
"Status","Status"
"Store View","Butiksvy"
"Such a block identifier in selected store already exist.","En sådan blockidentifierare för vald butik, finns redan."
"The page you are trying to save no longer exists","Sidan du försöker att spara finns inte längre"
"This block no longer exists","Detta block finns inte längre"
"This page no longer exists","Denna sidan finns inte längre"
"Title","Titel"
"Unable to find a block to delete","Blocket kunde inte tas bort då det inte kunde hittas"
"Unable to find a page to delete","Sidan gick inte att ta bort då den inte kunde hittas"
