"1 star","1 estrela"
"2 stars","2 estrelas"
"3 stars","3 estrelas"
"4 stars","4 estrelas"
"5 stars","5 estrelas"
"Add New Rating","Engadir nova clasificación"
"Assigned Options","Opcións asignadas"
"Be the first to review this product","Sexa o primeiro en avaliar este produto"
"Default Value","Valor predefinido"
"Delete Rating","Eliminar clasificación"
"Edit Rating","Editar clasificación"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Se non especifica un título de clasificación para unha tenda, usarase o valor predeterminado."
"Manage Ratings","Xestionar clasificacións"
"New Rating","Nova clasificación"
"Option Label","Etiqueta de opción"
"Option Title","Título de opción"
"Option Title:","Título de opción:"
"Please select one of each ratings above","Por favor, seleccione unha das clasificacións de arriba"
"Rating Information","Información da clasificación"
"Rating Name","Nome da clasificación"
"Rating Options","Opcións da clasificación"
"Rating Title","Título da clasificación"
"Rating Visibility","Visibilidade da clasificación"
"Rating isn't Available","A clasificación non está dispoñible"
"Rating with the same title","Clasificación co mesmo título"
"Save Rating","Gardar clasificación"
"Visible In","Visible en"
