"Alert Email Sender","Отправитель оповестительного письма"
"Alert subscription was deleted successfully","Оповещение о подписке успешно удалено"
"Alert subscription was saved successfully","Оповещение о подписке успешно сохранено"
"Allow alert when product comes back in stock","Разрешить оповещение когда товар появляется в наличии"
"Allow alert when product price changes","Разрешить оповещение когда изменена цена на товар"
"Click here not to receive alerts for this product","Нажмите сюда, чтобы не получать оповещений о данном товаре"
"Error Email Recipient","Получатель письма об ошибке"
"Error Email Sender","Отправитель письма об ошибке"
"Error Email Template","Шаблон письма об ошибке"
"Frequency","Частота"
"Not enough parameters","Недостаточно параметров"
"Please try again later","Пожалуйста, повторите попытку позже"
"Price alert Email Template","Письмо оповещения цены. Шаблон"
"Price:","Цена:"
"Product Alerts","Оповещения о товаре"
"Product Alerts Run Settings","Настройка запуска оповещений товара"
"Product alerts Cron error","Оповещения для товаров. Ошибка cron"
"Product not found","Товар не найден"
"Product price alert","Оповещение об изменениях цены на товар"
"Product stock alert","Оповещение о количестве товара"
"Sign up for price alert","Подписаться на оповещения о цене"
"Sign up to get notified when this product is back in stock","Подпишитесь, чтобы получить уведомление, когда товар появится в наличии"
"Special price:","Особое предложение:"
"Start Time","Время начала"
"Stock alert Email Template","Письмо оповещения о количестве в наличии. Шаблон"
"Unsubscribe from all price alerts","Отказаться от всех ценовых оповещений"
"Unsubscribe from all stock alerts","Отказаться от всех оповещений о появлении в наличии"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Вы получили это сообщение, так как подписались на получение уведомлений при появлении в наличии следующих товаров:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Вы получили это сообщение, так как. подписались на получение уведомлений при изменении цен на следующие товары:"
"You will no longer receive price alerts for this product","Вы больше не будете получать оповещения о цене для этого товара"
"You will no longer receive stock alerts","Вы больше не будете получать оповещения о наличии"
"You will no longer receive stock alerts for this product","Вы больше не будете получать оповещения о наличии для этого товара"
