"* Required Fields","* Obavezna polja"
"A new password was sent","Poslana je nova lozinka"
"Account Dashboard","Nadzorna ploča Profila"
"Account Information","Informacije o korisničkom računu"
"Account Sharing Options","Account Sharing Options"
"Account information was successfully saved","Informacije o korisničkom računu su uspješno snimljene"
"Action","Akcija"
"Add New Address","Dodaj novu adresu"
"Add New Customer","Dodaj novog kupca"
"Add New Customer Group","Dodaj novu grupu kupaca"
"Added From","Dodano iz"
"Additional Address Entries","Dodatne adrese"
"Address","Adresa"
"Address Book","Adreasar"
"Address Information","Podaci o adresi"
"Addresses","Adrese"
"Admin","Admin"
"All","Sve"
"All Store Views","Svi 'store' pogledi"
"All countries","Sve zemlje"
"Always optional","Always optional"
"Amount","Količina"
"Approved","Odobreno"
"Are you sure that you want to remove this item?","Jeste li sigurni da želite obrisati taj artikl?"
"Are you sure you want to cancel adding of this address?","Jeste li sigurni da želite odustati od dodavanja ove adrese?"
"Are you sure you want to delete this address?","Jeste li sigurni da želite obrisatu tu adresu?"
"Are you sure?","Jeste li sigurni?"
"Array of Entity collections is expected","Array of Entity collections is expected"
"Assign a customer group","Dodaj grupu kupaca"
"Average Sale","Prosječna prodaja"
"Back","Natrag"
"Back to Login","Natrag na Login"
"Bad request.","Bad request."
"Bill to Name","Bill to Name"
"Billing Information","Podaci o naplati"
"Bought From","Kupljeno od"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Kreiranjem profila na našem webshopu moći ćete kupovati brže i jednostavnije, spremati podatke o adresama isporuke, pregledavati i pratiti vaše narudžbe i još puno toga."
"CSV","CSV"
"Can't save address","Adresa se ne može spremiti"
"Can't save customer","Kupac se ne može spremiti"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged."
"Cancel","Odustani"
"Change Account Password","Promijeni lozinku korisničkog računa"
"Change Billing Address","Promijeni adresu na fakturi"
"Change Password","Promijenite lozinku"
"Change Shipping Address","Promijenite podatke o adresi isporuke"
"City","Mjesto"
"Company","Tvrtka"
"Config","Config"
"Confirm New Password","Potvrdite novu lozinku"
"Confirm Password","Potvrdite lozinku"
"Confirmation Link Email","Confirmation Link Email"
"Confirmed","Confirmed"
"Contact Information","Kontakt informacije"
"Continue Shopping","Nastavite kupovati"
"Country","Država"
"Create","Create"
"Create New Account Options","Opcije kreiranja novog korisničkog računa"
"Create New Customer Account","Kreirajte novi korisnički račun"
"Create Order","Napravite narudžbu"
"Create an Account","Kreirajte korisnički račun"
"Create customer","Create customer"
"Create customer address","Create customer address"
"Current Password","Trenutna lozinka"
"Customer","Kupac"
"Customer Addresses","Adrese kupca"
"Customer Api","Customer Api"
"Customer Configuration","Konfiguracije kupca"
