"-- Please select --","-- Παρακαλούμε επιλέξτε --"
"Allowed currencies","Επιτρεπόμενα Νομίσματα"
"Base currency","Base currency"
"Cannot retrieve rate from %s","Δεν είναι εφικτή η λήψη συντελεστή από %s"
"Connection timeout in seconds","Connection timeout in seconds"
"Continue &raquo;","Συνέχεια &raquo;"
"Country","Country"
"Country Api","Country Api"
"Country and Format Type combination should be unique","Ο συνδυασμός Χώρας και Τύπου Μορφοποίησης πρέπει να είναι μοναδικός"
"Currency","Νόμισμα"
"Currency Options","Επιλογές Νομίσματος"
"Currency Setup","Διαμόρφωση Νομισμάτων"
"Currency Update Warnings","Προειδοποιήσεις Ανανεώσεων Νομίσματος"
"Currency will be used for all online payment transactions","Currency will be used for all online payment transactions"
"Default display currency","Προεπιλεγμένο εμφανιζόμενο νόμισμα"
"Directory","Directory"
"Enabled","Ενεργοποιημένο"
"Error Email Recipient","Παραλήπτης Email Σφάλματος"
"Error Email Sender","Αποστολέας Email Σφάλματος"
"Error Email Template","Πρότυπο(Τempalte) Email Σφάλματος"
"FATAL ERROR:","ΑΝΕΠΑΝΟΡΘΩΤΟ ΣΦΑΛΜΑ:"
"Frequency","Συχνότητα"
"Installed Currencies","Εγκατεστημένα Νομίσματα"
"Invalid Import Service Specified","Ορίστηκε Άκυρη Υπηρεσία Εισαγωγής"
"Invalid country code: %s","Άκυρος κωδικός χώρας: %s"
"Invalid rates received","Παρελήφθησαν άκυροι συντελεστές"
"Invalid target currency","Μη έγκυρο νόμισμα για χρήση"
"List of countries","List of countries"
"List of regions in specified country","List of regions in specified country"
"Region","Region"
"Region Api","Region Api"
"Remove space from currency sign","Remove space from currency sign"
"Scheduled Import Settings","Ρυθμίσεις Προγραμματισμένων Εισαγωγών"
"Select Your Currency","Επιλέξτε Το Νόμισμά Σας"
"Service","Υπηρεσία"
"Start Time","Ώρα Έναρξης"
"State/Province","Νόμός/Δήμος"
"Strikeiron Email Update Warnings","Strikeiron Email Update Warnings"
"Unable to initialize import model","Δεν είναι δυνατη η εκκίνηση του μοντέλου εισαγωγής"
"Undefined rate from ""%s-%s""","Μη ορισμένος συντελεστής από ""%s-%s"""
"WARNING:","ΠΡΟΣΟΧΗ:"
"Webservicex","Webservicex"
"Your current currency is: %s","Το τρέχον νομισμά σας είναι: %s"
