"Add New Row","新しい列の追加"
"An error occurred while saving the file(s).","ファイル保存中にエラーが発生しました。"
"Availability: In stock.","有効: 在庫"
"Availability: Out of stock.","有効: 品切れ"
"Back","戻る"
"Can't connect to remote host, error: %s","Can't connect to remote host, error: %s"
"Canceled","キャンセル"
"Date","日付"
"Default Link Title","初期リンクタイトル"
"Default Maximum Number of Downloads","ダウンロードの初期最大数"
"Default Sample Title","デフォルトサンプルタイトル"
"Disable Guest Checkout if cart contains downloadable items","カートがダウンロード可能なアイテムを含む場合は、ゲストチェックアウト機能を動作させないでください"
"Downloadable Information","ダウンロード情報"
"Downloadable Product","ダウンロード製品"
"Downloadable Product Options","ダウンロード製品オプション"
"Downloadable product Section","ダウンロード可能な製品群"
"Excl. Tax","税抜き"
"File","ファイル"
"File does not exists","ファイルが存在しません"
"From:","Ｆｒｏｍ:"
"Gift Message","ギフトメッセージ"
"Go to <a href=""%s"">My Downloadable Products</a>","移動 <a href=""%s"">ダウンロード可能な製品</a>"
"Guest checkout will only work with shareable","ゲストによるチェックアウトは役割権限だけです"
"Incl. Tax","税込み"
"Invalid download URL host","無効なダウンロードＵＲＬホスト"
"Invalid download URL scheme","無効なダウンロードＵＲＬ構成"
"Invalid download link type","無効なダウンロードリンクタイプ"
"Invoiced","送り状"
"Link has expired.","リンク切れになりました。"
"Link is not available.","リンクは利用できません。"
"Links can be purchased separately","リンクは別購入することができます"
"Max. Downloads","最大ダウンロード"
"Message:","メッセージ:"
"My Downloadable Products","ダウンロード可能な製品"
"Open Links in New Window","新しいウィンドウでリンクを開きます。"
"Order #","オーダー #"
"Order Item Status to enable Downloads","注文アイテムの状態をダウンロード可能にしてください"
"Ordered","注文品"
"Pending","未決定"
"Please log in to download your product.","ログインした上で製品をダウンロードしてください。"
"Please set resource file and link type","リソースファイルとリンクタイプを設定してください"
"Please specify product link(s).","製品リンクを指定してください。"
"Price","価格"
"Refunded","返金"
"Remaining Downloads","残りのダウンロード"
"Remove item","アイテムの移動"
"Requested link doesn't exist.","要求情報が存在しません。"
"Sample","サンプル"
"Shareable","グループ権限"
"Shipped","荷送り人"
"Sorry, the was an error getting requested content. Please contact store owner.","要求内容においてエラーを受け取りました。 店のオーナーに連絡してください。"
"Sorry, there was an error getting requested content","Sorry, there was an error getting requested content"
"Sorry, there was an error getting requested content. Please contact store owner.","要求内容においてエラーを受け取りました。 店のオーナーに連絡してください。"
"Sort Order","ソート順"
"Start Download","ダウンロード開始"
"Status","ステータス"
"Title","タイトル"
"To:","Ｔｏ:"
"U","Ｕ"
"Unlimited","無条件"
"View Order","表示順序"
"You have not purchased any downloadable products yet.","You have not purchased any downloadable products yet."
"attachment","付属"
"download","ダウンロード"
"inline","インライン"
"sample","サンプル"
"My Downloadable Products","My Downloadable Products"
"You have not purchased any downloadable products yet.","You have not purchased any downloadable products yet."
