"1 star",1 stea
"2 stars",2 stele
"3 stars",3 stele
"4 stars",4 stele
"5 stars",5 stele
"Add New Rating",Adăugare Evaluare
"Assigned Options",Opțiuni Alocate
"Be the first to review this product",Fiți primul care evaluează produsul
"Default Value",Valoare Implicită
"Delete Rating",Ștergere Evaluare
"Edit Rating",Modificare Evaluare
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Dacă nu specificați titlul evaluării pentru un magazin, va fi folosită valoarea implicită."
"Manage Ratings",Gestionare Evaluări
"New Rating",Evaluare Nouă
"Option Label",Etichetă Opțiune
"Option Title",Titlu Opțiune
"Option Title:",Titlu Opțiune:
"Please select one of each ratings above",Alegeți câte una din fiecare evaluare de mai sus
"Rating Information",Informații Evaluare
"Rating Name",Nume Evaluare
"Rating Options",Opțiuni Evaluare
"Rating Title",Titlu Evaluare
"Rating Visibility",Vizibilitate Evaluare
"Rating isn't Available",Evaluarea nu este disponibilă
"Rating with the same title",Evaluare cu același titlu
"Save Rating",Salvare Evaluare
"Sort Order",Ordine Sortare
"Visible In",Vizibilă În
