"-- Please select --","-- Prosimy wybrać --"
"Allowed currencies","Dopuszczone waluty"
"Base currency","Waluta bazowa"
"Cannot retrieve rate from %s","Nie można pobrać stawki z %s"
"Connection timeout in seconds","Timeout połączenia w sekundach"
"Continue &raquo;","Kontynuuj &raquo;"
"Country","Kraj"
"Country Api","Api kraju"
"Country and Format Type combination should be unique","Kombinacja kraju i typu formatu powinna być unikalna"
"Currency","Waluta"
"Currency Options","Opcje waluty"
"Currency Setup","Ustawienia waluty"
"Currency Update Warnings","Ostrzeżenia aktualizacji waluty"
"Currency will be used for all online payment transactions","Waluta będzie użyta do wszystkich płatności on-line"
"Default display currency","Domyślna wyświetlana waluta"
"Directory","Katalog"
"Enabled","Włączone"
"Error Email Recipient","Błąd e-mail: nieprawidłowy odbiorca"
"Error Email Sender","Błąd e-mail: nieprawidłowy nadawca"
"Error Email Template","Błąd w szablonie e-mail"
"FATAL ERROR:","BŁĄD KRYTYCZNY:"
"Frequency","Częstotliwość"
"Installed Currencies","Zainstalowane waluty"
"Invalid Import Service Specified","Nieprawidłowa usługa importu"
"Invalid country code: %s","Niepoprawny kod kraju: %s"
"Invalid rates received","Otrzymano niepoprawne stawki"
"Invalid target currency","Błędna waluta docelowa"
"List of countries","Lista krajów"
"List of regions in specified country","Lista regionów w wybranych krajach"
"Region","Region"
"Region Api","Api regionu"
"Remove space from currency sign","Usuń odstęp ze znaku waluty"
"Scheduled Import Settings","Zaplanowane ustawienia importu"
"Select Your Currency","Wybierz walutę"
"Service","Usługa"
"Start Time","Czas rozpoczęcia"
"State/Province","Województwo:"
"Strikeiron Email Update Warnings","E-mail dla ostrzeżeń aktualizacji waluty przez Strikeiron"
"Unable to initialize import model","Nie można zainicjować modelu importu"
"Undefined rate from ""%s-%s""","Niezdefiniowany zakres od ""%s-%s"""
"WARNING:","OSTRZEŻENIE:"
"Webservicex","Webservicex"
"Your current currency is: %s","Aktualna waluta to: %s"
